Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CASTLE GREEN,481 Yio Chu Kang Road  #08-04,1,88,Strata,828000,-,9409,874,28-Jan-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787056,North East Region,Ang Mo Kio
SUNRISE GARDENS,55 Sunrise Avenue  #02-03,1,119,Strata,1050000,-,8824,820,24-Jan-19,Condominium,99 Yrs From 24/06/1995,1998,Resale,Private,28,80,806747,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,57 Seraya Crescent,1,193,Land,2880000,-,14946,1388,22-Jan-19,Semi-Detached House,Freehold,Unknown,Resale,HDB,20,57,575866,North East Region,Ang Mo Kio
N.A.,32 Mayflower Terrace,1,190,Land,2488000,-,13129,1220,22-Jan-19,Terrace House,Freehold,Unknown,Resale,Private,20,56,568575,North East Region,Ang Mo Kio
LENTOR VIEW,17 Lentor Place,1,189,Land,2400000,-,12705,1180,15-Jan-19,Terrace House,Freehold,1992,Resale,Private,26,78,789004,North East Region,Ang Mo Kio
SUNRISE GARDENS,53 Sunrise Avenue  #01-23,1,137,Strata,1150000,-,8394,780,5-Mar-19,Condominium,99 Yrs From 24/06/1995,1998,Resale,Private,28,80,806746,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #11-05,1,69,Strata,1088000,-,15768,1465,4-Mar-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
N.A.,69 Sunrise Avenue,1,326,Land,2128000,-,6520,606,4-Mar-19,Semi-Detached House,99 Yrs From 24/06/1995,1998,Resale,Private,28,80,806754,North East Region,Ang Mo Kio
FLORAVIEW,5 Ang Mo Kio Street 66  #02-23,1,67,Strata,930000,-,13881,1290,4-Mar-19,Apartment,Freehold,2017,Resale,Private,20,56,567707,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,23 Casuarina Road,1,139,Land,2480000,-,17791,1653,1-Mar-19,Terrace House,Freehold,1999,Resale,HDB,20,57,579411,North East Region,Ang Mo Kio
GRANDEUR 8,18 Ang Mo Kio Central 3  #12-31,1,114,Strata,1350000,-,11842,1100,28-Feb-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567749,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #01-02,1,119,Strata,950000,-,7983,742,27-Feb-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,630 Upper Thomson Road  #01-68,1,248,Strata,2500000,-,10081,937,26-Feb-19,Condominium,Freehold,2012,Resale,Private,26,78,787132,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #06-02,1,107,Strata,935000,-,8738,812,21-Feb-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
THE CALROSE,511 Yio Chu Kang Road  #05-08,1,151,Strata,1330000,-,8808,818,18-Feb-19,Condominium,Freehold,2007,Resale,Private,26,78,787066,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #07-03,1,107,Strata,1025000,-,9579,890,14-Feb-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787056,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,43 Jalan Menarong,1,186,Land,2230000,-,12002,1115,13-Feb-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,577450,North East Region,Ang Mo Kio
SEASONS PARK,499 Yio Chu Kang Road  #04-06,1,120,Strata,1138000,-,9483,881,12-Feb-19,Condominium,99 Yrs From 01/03/1995,1997,Resale,HDB,26,78,787082,North East Region,Ang Mo Kio
BANYAN VILLAS,33 Lentor Plain,1,150,Land,2600000,-,17333,1610,12-Feb-19,Terrace House,Freehold,2002,Resale,HDB,26,78,786535,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #23-03,1,86,Strata,1360000,-,15814,1469,22-Mar-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
SELETAR GARDEN,37 Cactus Crescent,1,766,Land,7080000,-,9248,859,22-Mar-19,Detached House,Freehold,1988,Resale,Private,28,80,809739,North East Region,Ang Mo Kio
NUOVO,23 Ang Mo Kio Avenue 9  #17-10,1,227,Strata,1840000,-,8106,753,22-Mar-19,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,Private,20,56,569787,North East Region,Ang Mo Kio
GRANDEUR 8,14 Ang Mo Kio Central 3  #08-23,1,117,Strata,1330000,-,11368,1056,21-Mar-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567747,North East Region,Ang Mo Kio
NUOVO,25 Ang Mo Kio Avenue 9  #05-16,1,104,Strata,1020000,-,9808,911,21-Mar-19,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,HDB,20,56,569788,North East Region,Ang Mo Kio
TEACHER'S HOUSING ESTATE,33 Iqbal Avenue,1,168,Land,2550000,-,15215,1413,20-Mar-19,Terrace House,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,789470,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,626 Upper Thomson Road  #01-10,1,90,Strata,1110000,-,12333,1146,20-Mar-19,Condominium,Freehold,2012,Resale,Private,26,78,787130,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,626 Upper Thomson Road  #04-33,1,139,Strata,1750000,-,12590,1170,18-Mar-19,Condominium,Freehold,2012,Resale,Private,26,78,787130,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,5 Jalan Batai,1,171,Land,2150000,-,12566,1167,18-Mar-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,578681,North East Region,Ang Mo Kio
THE COUNTRYSIDE,17 Countryside Walk,1,208,Land,2780000,-,13385,1243,18-Mar-19,Terrace House,Freehold,1996,Resale,Private,26,78,789695,North East Region,Ang Mo Kio
TEACHER'S HOUSING ESTATE,90 Tagore Avenue,1,168,Land,2150000,-,12828,1192,18-Mar-19,Terrace House,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,787685,North East Region,Ang Mo Kio
NUOVO,23 Ang Mo Kio Avenue 9  #10-12,1,129,Strata,1288888,-,9991,928,18-Mar-19,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,Private,20,56,569787,North East Region,Ang Mo Kio
THE COUNTRYSIDE,65 Countryside Road,1,190,Land,2420000,-,12757,1185,15-Mar-19,Terrace House,Freehold,1996,Resale,HDB,26,78,789818,North East Region,Ang Mo Kio
BULLION PARK,170 Lentor Loop  #02-05,1,75,Strata,870000,-,11600,1078,15-Mar-19,Condominium,Freehold,1993,Resale,HDB,26,78,789099,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,39 Casuarina Road,1,139,Land,2638000,-,18924,1758,12-Mar-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,579427,North East Region,Ang Mo Kio
SEASONS PARK,499 Yio Chu Kang Road  #08-01,1,120,Strata,1180000,-,9833,914,11-Mar-19,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787082,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,632 Upper Thomson Road  #08-82,1,111,Strata,1390000,-,12523,1163,8-Mar-19,Condominium,Freehold,2012,Resale,HDB,26,78,787133,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #06-06,1,132,Strata,1500000,-,11364,1056,7-Mar-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567743,North East Region,Ang Mo Kio
THE COUNTRYSIDE,14 Countryside View,1,169,Land,2600000,-,15403,1431,8-Apr-19,Terrace House,Freehold,1996,Resale,N.A,26,78,789730,North East Region,Ang Mo Kio
THE CALROSE,511 Yio Chu Kang Road  #01-04,1,121,Strata,1480000,-,12231,1136,8-Apr-19,Condominium,Freehold,2007,Resale,Private,26,78,787066,North East Region,Ang Mo Kio
GRANDEUR 8,2 Ang Mo Kio Central 3  #18-02,1,153,Strata,1300000,-,8497,789,5-Apr-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567741,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,39 Jalan Telang,1,177,Land,2600000,-,14673,1363,2-Apr-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,576709,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #19-07,1,93,Strata,1468800,-,15794,1467,29-Mar-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
SUNRISE GARDENS,53 Sunrise Avenue  #02-11,1,77,Strata,665000,-,8636,802,29-Mar-19,Condominium,99 Yrs From 24/06/1995,1998,Resale,N.A,28,80,806746,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #03-02,1,107,Strata,975000,-,9112,847,29-Mar-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
PRESIDENT GARDENS,78 Lentor Green,1,218,Land,2800000,-,12874,1196,29-Mar-19,Terrace House,Freehold,1985,Resale,Private,26,78,789309,North East Region,Ang Mo Kio
SEASONS PARK,495 Yio Chu Kang Road  #10-04,1,97,Strata,930000,-,9588,891,26-Mar-19,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787080,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #11-06,1,132,Strata,1528000,-,11576,1075,26-Mar-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,N.A,20,56,567743,North East Region,Ang Mo Kio
SUNRISE VILLA,8 Sunrise Terrace,1,156,Land,2298000,-,14693,1365,26-Mar-19,Terrace House,Freehold,1985,Resale,Private,28,80,806348,North East Region,Ang Mo Kio
ST NICHOLAS VIEW,22 St. Nicholas View,1,150,Land,1700000,-,11333,1053,30-Apr-19,Terrace House,99 Yrs From 07/11/1995,1999,Resale,Private,20,56,567985,North East Region,Ang Mo Kio
LENTOR VIEW,21 Lentor Lane,1,189,Land,2680000,-,14180,1317,29-Apr-19,Terrace House,Freehold,1992,Resale,Private,26,78,789141,North East Region,Ang Mo Kio
WELLINGTON PARK,35 Ellington Square,1,173,Land,3050000,-,17650,1640,26-Apr-19,Terrace House,Freehold,1985,Resale,Private,20,56,568946,North East Region,Ang Mo Kio
GRANDEUR 8,8 Ang Mo Kio Central 3  #17-11,1,123,Strata,1430000,-,11626,1080,25-Apr-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567744,North East Region,Ang Mo Kio
GRANDEUR 8,10 Ang Mo Kio Central 3  #05-14,1,104,Strata,1050000,-,10096,938,24-Apr-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567745,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,628 Upper Thomson Road  #04-46,1,111,Strata,1450000,-,13063,1214,24-Apr-19,Condominium,Freehold,2012,Resale,Private,26,78,787131,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #23-06,1,86,Strata,1370000,-,15930,1480,23-Apr-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
THE CALROSE,511 Yio Chu Kang Road  #01-17,1,131,Strata,1770000,-,13511,1255,18-Apr-19,Condominium,Freehold,2007,Resale,Private,26,78,787066,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #23-04,1,84,Strata,1320000,-,15714,1460,11-Apr-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #09-14,1,131,Strata,1300000,-,9924,922,11-Apr-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,11 Jalan Chempedak,1,183,Land,3000000,-,16358,1520,7-May-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,578394,North East Region,Ang Mo Kio
WELLINGTON PARK,5 Ellington Square,1,172,Land,2670000,-,15496,1440,2-May-19,Terrace House,Freehold,1985,Resale,Private,20,56,568916,North East Region,Ang Mo Kio
THE COUNTRYSIDE,3 Countryside Walk,1,300,Land,3220000,-,10748,998,1-May-19,Terrace House,Freehold,1996,Resale,N.A,26,78,789682,North East Region,Ang Mo Kio
HORIZON GREEN,757 Ang Mo Kio Avenue 2,1,297,Strata,1920000,-,6465,601,23-May-19,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567790,North East Region,Ang Mo Kio
GRANDEUR 8,14 Ang Mo Kio Central 3  #19-24,1,215,Strata,1950000,-,9070,843,21-May-19,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567747,North East Region,Ang Mo Kio
ST NICHOLAS VIEW,27 St. Nicholas View,1,151,Land,1815000,-,12060,1120,21-May-19,Terrace House,99 Yrs From 07/11/1995,1999,Resale,Private,20,56,567990,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #12-06,1,131,Strata,1360000,-,10382,964,21-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #02-06,1,113,Strata,948000,-,8389,779,21-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
MUN WAH GARDEN,18 Tung Po Avenue,1,339,Land,3720000,-,10961,1018,17-May-19,Semi-Detached House,Freehold,1995,Resale,Private,26,78,787160,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,11 Jalan Menarong,1,185,Land,2230000,-,12041,1119,17-May-19,Terrace House,Freehold,Unknown,Resale,HDB,20,57,577419,North East Region,Ang Mo Kio
PRESIDENT GARDENS,102 Lentor Green,1,213,Land,2810000,-,13205,1227,17-May-19,Terrace House,Freehold,1985,Resale,Private,26,78,789321,North East Region,Ang Mo Kio
THE PANORAMA,8 Ang Mo Kio Avenue 2  #10-02,1,94,Strata,1510000,-,16064,1492,17-May-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567695,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #04-14,1,113,Strata,1068000,-,9451,878,17-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #07-01,1,88,Strata,840000,-,9545,887,15-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #05-05,1,88,Strata,865000,-,9830,913,15-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,57 Casuarina Road,1,139,Land,3025000,-,21700,2016,14-May-19,Terrace House,Freehold,Unknown,Resale,N.A,20,57,579445,North East Region,Ang Mo Kio
GRANDE VISTA,24 Cactus Drive  #09-10,1,115,Strata,1360000,-,11826,1099,13-May-19,Condominium,999 Yrs From 05/05/1886,1993,Resale,HDB,28,80,809694,North East Region,Ang Mo Kio
THE PANORAMA,8 Ang Mo Kio Avenue 2  #09-05,1,94,Strata,1500000,-,15957,1482,13-May-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,HDB,20,56,567695,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,628 Upper Thomson Road  #04-52,1,113,Strata,1600000,-,14159,1315,10-May-19,Condominium,Freehold,2012,Resale,Private,26,78,787131,North East Region,Ang Mo Kio
MEADOWS @ PEIRCE,626 Upper Thomson Road  #04-08,1,113,Strata,1550000,-,13717,1274,9-May-19,Condominium,Freehold,2012,Resale,Private,26,78,787130,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #25-07,1,93,Strata,1500000,-,16129,1498,8-May-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
THE PANORAMA,16 Ang Mo Kio Avenue 2  #11-23,1,42,Strata,720000,-,17143,1593,8-May-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,HDB,20,56,567699,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #03-10,1,107,Strata,980000,-,9159,851,8-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
TEACHER'S HOUSING ESTATE,32 Tu Fu Avenue,1,228,Land,3000000,-,13141,1221,7-May-19,Terrace House,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,787239,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #08-05,1,75,Strata,1088000,-,14507,1348,14-Jun-19,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #03-12,1,88,Strata,830000,-,9432,876,14-Jun-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
SEASONS PARK,491 Yio Chu Kang Road  #08-01,1,120,Strata,1165000,-,9708,902,12-Jun-19,Condominium,99 Yrs From 01/03/1995,1997,Resale,HDB,26,78,787078,North East Region,Ang Mo Kio
FAR HORIZON GARDENS,15 Ang Mo Kio Avenue 9  #02-01,1,181,Strata,1450000,-,8011,744,12-Jun-19,Condominium,99 Yrs From 08/03/1982,1986,Resale,HDB,20,56,569765,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,39 Jalan Chempedak,1,270,Land,2800000,-,10367,963,11-Jun-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,578421,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,101 Jalan Kuras,1,166,Land,3400000,-,20531,1907,10-Jun-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,577767,North East Region,Ang Mo Kio
FAR HORIZON GARDENS,11 Ang Mo Kio Avenue 9  #09-01,1,181,Strata,1550000,-,8564,796,7-Jun-19,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,20,56,569763,North East Region,Ang Mo Kio
THOMSON GROVE,584 Yio Chu Kang Road  #03-02,1,138,Strata,1000000,-,7246,673,7-Jun-19,Condominium,Freehold,1984,Resale,N.A,26,78,787070,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #10-07,1,131,Strata,1320000,-,10076,936,30-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,47 Jalan Chengam,1,181,Land,3100000,-,17146,1593,30-May-19,Terrace House,Freehold,1998,Resale,HDB,20,57,578330,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,59 Jalan Leban,1,308,Land,4800000,-,15564,1446,28-May-19,Semi-Detached House,Freehold,Unknown,Resale,Private,20,57,577596,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #03-05,1,50,Strata,979000,-,19580,1819,30-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575811,North East Region,Ang Mo Kio
BULLION PARK,160 Lentor Loop  #09-04,1,115,Strata,1360000,-,11826,1099,28-Jun-19,Condominium,Freehold,1992,Resale,Private,26,78,789094,North East Region,Ang Mo Kio
NUOVO,23 Ang Mo Kio Avenue 9  #01-11,1,185,Strata,1620000,-,8757,814,28-Jun-19,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,Private,20,56,569787,North East Region,Ang Mo Kio
BANYAN VILLAS,7 Lentor Plain,1,150,Land,2680000,-,17867,1660,27-Jun-19,Terrace House,Freehold,2002,Resale,Private,26,78,786509,North East Region,Ang Mo Kio
THE COUNTRYSIDE,7 Countryside Walk,1,208,Land,2830000,-,13625,1266,27-Jun-19,Terrace House,Freehold,1996,Resale,Private,26,78,789686,North East Region,Ang Mo Kio
BULLION PARK,160 Lentor Loop  #09-05,1,75,Strata,890000,-,11867,1102,26-Jun-19,Condominium,Freehold,1992,Resale,Private,26,78,789094,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #04-02,1,57,Strata,1110000,-,19474,1809,23-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #05-05,1,61,Strata,1037000,-,17000,1579,23-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #04-06,1,60,Strata,1154000,-,19233,1787,17-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575872,North East Region,Ang Mo Kio
THE PANORAMA,18 Ang Mo Kio Avenue 2  #03-30,1,93,Strata,1478000,-,15892,1476,17-Jun-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,HDB,20,56,567700,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #05-03,1,52,Strata,1009000,-,19404,1803,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,Private,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #04-05,1,50,Strata,974000,-,19480,1810,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #02-06,1,60,Strata,1143000,-,19050,1770,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,Private,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #04-10,1,80,Strata,1508000,-,18850,1751,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #03-07,1,80,Strata,1514000,-,18925,1758,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #05-09,1,100,Strata,1679000,-,16790,1560,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #05-02,1,57,Strata,1125000,-,19737,1834,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #03-06,1,60,Strata,1149000,-,19150,1779,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #05-01,1,81,Strata,1576000,-,19457,1808,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #05-06,1,60,Strata,1159000,-,19317,1795,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,N.A,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #04-07,1,80,Strata,1522000,-,19025,1767,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #01-06,1,60,Strata,1138000,-,18967,1762,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,3 Seraya Crescent  #01-10,1,80,Strata,1483000,-,18538,1722,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575872,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #03-02,1,57,Strata,1105000,-,19386,1801,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575811,North East Region,Ang Mo Kio
LATTICE ONE,1 Seraya Crescent  #02-03,1,52,Strata,993000,-,19096,1774,16-Jun-19,Apartment,Freehold,Uncompleted,New Sale,HDB,20,57,575811,North East Region,Ang Mo Kio
LENTOR VIEW,4 Lentor Place,1,255,Land,2500000,-,9819,912,14-Jun-19,Terrace House,Freehold,1992,Resale,Private,26,78,788991,North East Region,Ang Mo Kio
THE CALROSE,513 Yio Chu Kang Road  #04-41,1,117,Strata,1643000,-,14043,1305,19-Jul-19,Condominium,Freehold,2007,Resale,N.A,26,78,787067,North East Region,Ang Mo Kio
WELLINGTON PARK,143 Ellington Square,1,173,Land,2700000,-,15625,1452,19-Jul-19,Terrace House,Freehold,1985,Resale,Private,20,56,569005,North East Region,Ang Mo Kio
