XCOORD,YCOORD,NAME,ADDRESS,OUTLET_TYPE,Gp1Gp2Win
103.851566,1.33028647,Balestier Khalsa Football Club,297 Lor 6 Toa Payoh Toa Payoh Stadium   Singapore 319389,Outlet,9
103.857769,1.32470588,Chwee Huat Trading,Blk 74 Whampoa Dr #01-322   Singapore 320074,Outlet,7
103.851308,1.32485173,NTUC FP Shaw Plaza,360 Balestier Rd Shaw Plaza #B1-01   Singapore 329783,Outlet,20
103.862313,1.31861288,Tan Wee Fong Trading,Blk 24 Bendemeer Rd #01-529   Singapore 330024,Outlet,39
103.87039,1.32099294,NTUC FP Kallang Bahru,Blk 71 Kallang Bahru #01-529   Singapore 330071,Outlet,26
103.872582,1.32886992,FairPrice Xpress MacPherson,"114 MacPherson Rd, Exxon-Mobil   Singapore 348504",Outlet,14
103.866015,1.33383296,B.H. Mini Mart,Blk 137 Potong Pasir Ave 3 #01-142   Singapore 350137,Outlet,15
103.885527,1.33155135,Chop Yeo Thong Heng,Blk 83 MacPherson Lane #01-249   Singapore 360083,Outlet,12
103.871647,1.31545272,Lim Heng Ee,Blk 16 Upp Boon Keng Rd #01-1113   Singapore 380016,Outlet,18
103.880072,1.31783079,Wanrise,Blk 53 Sims Place #01-172   Singapore 380053,Outlet,37
103.886335,1.31920343,Li Thoe Trading,Blk 119 Aljunied Ave 2 #01-78   Singapore 380119,Outlet,44
103.887422,1.31431433,Lee Wah TV & Electric Co,623 Geylang Rd   Singapore 389561,Outlet,32
103.901952,1.33066596,Ng Teo Guan Self Service,Blk 301 Ubi Ave 1 #01-251   Singapore 400301,Outlet,48
103.902726,1.32128818,7-Eleven Eunos,Blk 1A Eunos Crescent #01-2469/2471   Singapore 401001,Outlet,42
103.89494,1.31894037,NTUC FP Singapore Post Centre,10 Eunos Rd 8 Singapore Post Centre #B2-13   Singapore 408600,Outlet,10
103.89494,1.31894037,Singapore Turf Club Singapore Post Centre,10 Eunos Road 8 #03-01 Singapore Post Centre   Singapore 408600,Outlet,0
103.893477,1.31480227,Vijaya Darshana Agency,810 Geylang Rd City Plaza #01-58/59   Singapore 409286,Outlet,24
103.898827,1.3162075,7-Eleven Changi,38-A Changi Rd   Singapore 419701,Outlet,17
103.904387,1.30644697,TST Medical Hall,448 Joo Chiat Rd   Singapore 427661,Outlet,28
103.896129,1.31560417,Cheers Haig Rd,Blk 12 Haig Rd #01-333/335   Singapore 430012,Outlet,11
103.901162,1.30379813,Whampoa Tat Lee Trading,865 Mountbatten Rd Katong Shopping Centre #01-26   Singapore 437844,Outlet,14
103.915375,1.3056048,Tan Boon Tin Agency,Blk 56 Marine Terrace #01-253   Singapore 440056,Outlet,20
103.905282,1.30108003,Cold Storage Parkway Parade,80 Marine Parade Rd Parkway Parade #B1-84   Singapore 449269,Outlet,16
103.907177,1.30133747,NTUC FP Marine Parade,6 Marine Parade Central   Singapore 449411,Outlet,41
103.914496,1.31907962,Cheng Chew Wah Agency,20 Frankel Terrace   Singapore 458022,Outlet,19
103.935564,1.32014904,Yeo Kean Fatt Dept Store,Blk 17 Bedok South Rd #01-583   Singapore 460017,Outlet,20
103.943971,1.31983786,Hock Soon Ann,Block 73 Bedok South Ave 3 #01-454   Singapore 460073,Outlet,6
103.938221,1.33295684,NTUC FP Bedok North St 4,Blk 89 Bedok North St 4 #01-77/79   Singapore 460089,Outlet,29
103.937347,1.32919472,7-Eleven Bedok North,Blk 123 Bedok North St 2 #01-158   Singapore 460123,Outlet,15
103.931635,1.3259232,NTUC FP Bedok North St 1,Blk 212 Bedok North St 1 #01-147   Singapore 460212,Outlet,37
103.933485,1.32605925,Singapore Turf Club Bedok Centre,Blk 215 Bedok North St 1 #02-87   Singapore 460215,Outlet,2
103.930682,1.32839985,Choice Decor Bedok North,Blk 416 Bedok North Ave 2 #01-31   Singapore 460416,Outlet,12
103.925308,1.33131111,Cheers Bedok North,Blk 539 Bedok North St 3 #01-625   Singapore 460539,Outlet,23
103.924146,1.32328851,Prime Chai Chee,25A Chai Chee Rd #01-459   Singapore 461025,Outlet,12
103.941572,1.32425201,NTUC FP New Upper Changi,Blk 57 New Upp Changi Rd #01-1334/1338   Singapore 461057,Outlet,31
103.940696,1.32405899,Cheers New Upper Changi Road,Blk 59 New Upp Changi Rd #01-1272   Singapore 461059,Outlet,16
103.947268,1.33127234,Chua Seng Dept Store,343 Bedok Rd   Singapore 469526,Outlet,30
103.938858,1.32604714,Geylang United Football Club,"1 Bedok North Street 2, Bedok Stadium Gate 3,   Singapore 469642",Outlet,15
103.914146,1.33205053,Xie Sheng Dept Service Co,Blk 632 Bedok Reservoir Rd #01-820   Singapore 470632,Outlet,30
103.922279,1.337744,Nel's Store,Blk 741 Bedok Reservoir Rd #01-3073   Singapore 470741,Outlet,27
103.963887,1.33482755,NTUC FP Changi Business Park Hypermarket,8 Changi Business Park Ave 1 #01-51 & #02-51   Singapore 486018,Outlet,0
103.987663,1.38886915,Cheers Changi Village,Blk 4 Changi Village Rd #01-2074   Singapore 500004,Outlet,40
103.957952,1.36893289,Laura's Gifts,Blk 442 Pasir Ris Dr 6 #01-42   Singapore 510442,Outlet,28
103.941989,1.37857026,Chng Siow Eng Agency,Blk 625 Elias Rd Elias Mall #01-316   Singapore 510625,Outlet,26
103.949801,1.3725194,NTUC FP Pasir Ris White Sands,1 Pasir Ris Central St 3 White Sands #B1-10   Singapore 518457,Outlet,26
103.954282,1.3775994,NTUC FP Downtown East,1 Pasir Ris Close #E02-03 E ! Hub   Singapore 519599,Outlet,8
103.953126,1.36032332,NTUC FP Tampines St 44,Blk 475 Tampines St 44 #01-145   Singapore 520475,Outlet,23
103.945109,1.35580573,Jake Merchandise Associates,Blk 503 Tampines Central 1 #01-283   Singapore 520503,Outlet,32
103.932711,1.34904075,Tampines Rovers Football Club,Blk 824 Tampines St 81 #01-14   Singapore 520824,Outlet,29
103.934831,1.3488295,Tampines Trading,Blk 828 Tampines St 81 #01-234   Singapore 520828,Outlet,45
103.948129,1.34836437,NTUC FP Tampines St 11,Blk 107 Tampines St 11 #01-353/359   Singapore 521107,Outlet,23
103.944285,1.34607675,Mee Lee Cheong Pte Ltd,Blk 139 Tampines St 11 #01-32   Singapore 521139,Outlet,40
103.934429,1.35539306,NTUC FP Tampines Street 83,Blk 866A #01-K1 Tampines St 83   Singapore 521866,Outlet,10
103.953024,1.35343545,Lee Eng Trading Store,Blk 201B Tampines St 21 #01-1083   Singapore 522201,Outlet,44
103.953543,1.34254833,NTUC FP Eastpoint Mall,3 Simei St 6 Eastpoint Mall #B1-04   Singapore 528833,Outlet,32
103.943785,1.35236113,NTUC FP Century Square,"NTUC FP Century Square, 2 Tampines Central 5 #B1-07/08/17   Singapore 529509",Outlet,1
103.944696,1.35258025,NTUC FP Tampines Mall,4 Tampines Central 5 Tampines Mall #B1-12   Singapore 529510,Outlet,35
103.893508,1.36233044,Fatt Chye Heng Trading,Blk 7 Hougang Ave 3 #01-48   Singapore 530007,Outlet,41
103.89073,1.36485921,Cheers Hougang Ave 3,Blk 23 Hougang Ave 3 #01-281   Singapore 530023,Outlet,5
103.886259,1.35338732,Tan Kai Huat Provision Shop,Blk 123 Hougang Ave 1 #01-1408   Singapore 530123,Outlet,17
103.884038,1.35757558,NTUC FP Hougang St 21,Blk 202 Hougang St 21 #01-00   Singapore 530202,Outlet,19
103.885947,1.37502592,Tong Aik Huat,Blk 685 Hougang St 61 #01-160   Singapore 530685,Outlet,44
103.893647,1.37160444,Cheers - Hougang Central,Blk 810 Hougang Central #01-214   Singapore 530810,Outlet,22
103.879333,1.38082899,Shop N Save Buangkok Cresent,Blk 982 Buangkok Cresent #01-01   Singapore 530982,Outlet,9
103.886432,1.33843716,Nalayanee Trading Enterprise,127 Upp Paya Lebar Rd   Singapore 534839,Outlet,23
103.87945,1.37566728,NTUC FP Hougang Point,1 Hougang St 91 Hougang Point Central Place #02- 01   Singapore 538692,Outlet,24
103.887847,1.37931783,Dawn Florist,21 Hougang St 51 Hougang Green Shopping Mall #01-04A   Singapore 538719,Outlet,25
103.893788,1.37248309,NTUC FP Hougang Mall,90 Hougang Ave 10 NTUC Hougang Mall #B1-07   Singapore 538766,Outlet,32
103.88596,1.36949729,Hougang United Football Club,100 Hougang Ave 2 Hougang Stadium   Singapore 538856,Outlet,16
103.901981,1.38544135,Seah Geok Eng Agency,Blk 118 Rivervale Dr Rivervale Plaza #01-15   Singapore 540118,Outlet,42
103.895957,1.39484838,Prime Compassvale St,Blk 263 Compassvale St #01-01   Singapore 540263,Outlet,15
103.897071,1.38192135,Shop N Save Compassvale Bow,Blk 266 Compassvale Bow #01-02   Singapore 540266,Outlet,12
103.895064,1.39205431,Cold Storage Compass Point,1 Seng Kang Square #B1-38 Compass Point Shopping Centre   Singapore 545078,Outlet,21
103.904473,1.39221733,NTUC FP Rivervale Mall,11 Rivervale Crescent Rivervale Mall #03-01   Singapore 545082,Outlet,24
103.873366,1.35633276,Kiamly Trading,Blk 211 Serangoon Ave 4 #01-06   Singapore 550211,Outlet,5
103.869978,1.35366189,Chua Hong Kim Trading,Blk 237 Serangoon Ave 3 #01-106   Singapore 550237,Outlet,31
103.870961,1.35317171,Singapore Turf Club Serangoon Ave 3,Blk 267 Serangoon Ave 3 #02-01 & #03-02   Singapore 550267,Outlet,4
103.873036,1.36979942,NTUC FP Serangoon North,Blk 152B Serangoon North Ave 1 #01-384   Singapore 552152,Outlet,27
103.872929,1.35031308,NTUC FP Serangoon Central Hypermart,23 Serangoon Central #03-42 NEX   Singapore 556083,Outlet,12
103.866024,1.36469241,Gerk Chwee Trading,4 Kensington Park Rd   Singapore 557256,Outlet,31
103.839713,1.37456825,Tuck Lee Long,Blk 159 Ang Mo Kio Ave 4 #01-536   Singapore 560159,Outlet,31
103.848919,1.36382298,Seng Yeok Chan Agency,Blk 338 Ang Mo Kio Ave 1 #01-1657   Singapore 560338,Outlet,33
103.854588,1.3620913,Springdale Garments Co,Blk 408 Ang Mo Kio Ave 10 #01-795   Singapore 560408,Outlet,33
103.85459,1.37381205,Clifford Gift Shop,Blk 532 Ang Mo Kio Ave 10 #01-2459   Singapore 560532,Outlet,42
103.856383,1.37061246,Premier Security Cooperative Society Ltd,Blk 574 Ang Mo Kio Ave 10 #01-1823   Singapore 560574,Outlet,11
103.847156,1.36929795,7-Eleven Big Mac Centre,51 Ang Mo Kio Ave 3 Big Mac Centre #01-01A   Singapore 569922,Outlet,18
103.848411,1.36918418,NTUC FP Ang Mo Kio Hypermarket,53 Ang Mo Kio Ave 3 Ang Mo Kio Hub #B2-26   Singapore 569933,Outlet,32
103.839173,1.35696633,Choice Decor Co-Operative Society Ltd,Blk 22 Sin Ming Rd #01-232   Singapore 570022,Outlet,21
103.849692,1.34888848,NTUC FP Bishan St 13,Blk 510 Bishan St 13 #01-520   Singapore 570510,Outlet,26
103.849548,1.34930259,Nan Huat Wine Store,Blk 513 Bishan St 13 #01-508   Singapore 570513,Outlet,40
103.834629,1.35346233,7-Eleven Sin Ming,244H Upp Thomson Rd   Singapore 574369,Outlet,17
103.830945,1.35465019,NTUC FP Thomson Plaza,301 Upp Thomson Rd Thomson Plaza #03-25/31   Singapore 574408,Outlet,24
103.829255,1.37157994,7-Eleven Jln Leban,14 Jln Leban Sembawang Hill Estates   Singapore 577553,Outlet,28
103.776539,1.34241264,Shop N Save Beauty World,144 Upp Bukit Timah Rd Beauty World Centre #B1-01   Singapore 588177,Outlet,10
103.778585,1.33863165,NTUC FP Bukit Timah Plaza,1 Jln Anak Bukit Bukit Timah Plaza #B1-01   Singapore 588996,Outlet,21
103.773958,1.34056761,Yong Lai Peck Trading,64 Jln Jurong Kechil   Singapore 598585,Outlet,20
103.738562,1.32228375,Lee Ah Lan Trading,Blk 61 Teban Gardens Road #01-05 Teban Place   Singapore 600061,Outlet,14
103.739691,1.33379423,NTUC FP Jurong East,Blk 135 Jurong East St 13 #01-337   Singapore 600135,Outlet,55
103.738307,1.34419053,Kim Chwee Trading,Blk 256 Jurong East St 24 #01-385   Singapore 600256,Outlet,41
103.730404,1.34493531,S E Store,Blk 352 Jurong East St 31 #01-121   Singapore 600352,Outlet,27
103.722453,1.33205939,NTUC FP Yung Kuang,Blk 63-66 Yung Kuang Rd #01-119/02-119   Singapore 610063,Outlet,30
103.720462,1.33484487,The Little Plaza,Blk 399 Yung Sheng Road #01-07 Taman Jurong Shopping Centre   Singapore 610399,Outlet,30
103.725222,1.32546821,Superbowl Jurong Pte Ltd,3 Yuan Ching Rd   Singapore 618642,Outlet,28
103.652209,1.31720417,Tuas View,71 Pioneer Rd Tuas Amenity Centre #02-02/03   Singapore 639591,Outlet,27
103.712473,1.34637376,NTUC FP Boon Lay,Blk 221 Boon Lay Place Boon Lay Shopping Complex #02-200   Singapore 640221,Outlet,35
103.697182,1.3416803,Giant Pioneer Mall,Blk 638 Jurong West St 61 Pioneer Mall #03-01   Singapore 640638,Outlet,20
103.69146,1.34138531,PFG Framing And Trading,Blk 960 Jurong West St 92 #01-182   Singapore 640960,Outlet,37
103.705368,1.33940387,FairPrice Xtra Jurong Point 2,63 Jurong West Central 3 #03-01 Jurong Point Shopping Centre   Singapore 648331,Outlet,27
103.706685,1.339452,NTUC FP Jurong Point,1 Jurong West Central 2 Jurong Point #B1-09   Singapore 648886,Outlet,32
103.745732,1.35041553,7-Eleven Bukit Batok West,Blk 132 Bukit Batok West Ave 6 #01-304   Singapore 650132,Outlet,16
103.744189,1.3487934,Tan Ah Leck Trading,Blk 151 Bukit Batok St 11 #01-254   Singapore 650151,Outlet,41
103.75736,1.34725431,Everstream Trading,Blk 283 Bukit Batok East Ave 3 #01-281   Singapore 650283,Outlet,29
103.749556,1.34899204,NTUC FP Bukit Batok MRT Station,10 Bukit Batok Central Bukit Batok MRT Station #01-08   Singapore 659958,Outlet,22
103.760218,1.38509602,NTUC FP Senja,Blk 628 Senja Rd Senja Grand #01-01   Singapore 670628,Outlet,8
103.766228,1.38540569,Shop N Save Greenridge,Blk 524A Jelapang Rd Greenridge Shopping Centre #03-13/18   Singapore 671524,Outlet,12
103.76441,1.37991651,NTUC FP Bukit Panjang Plaza,1 Jelebu Rd Bukit Panjang Plaza #02-11/12   Singapore 677743,Outlet,22
103.760042,1.38060512,GIANT - JUNCTION 10,"1, WOODLANDS ROAD, #02-01, JUNCTION 10   Singapore 677899",Outlet,0
103.744549,1.3767775,Prime Keat Hong,Blk 253 Choa Chu Kang Avenue 1 #01-07 to 10 Keat Hong Shopping Centre   Singapore 680253,Outlet,2
103.739015,1.37789728,Giant Sunshine Place,475 Choa Chu Kang Ave 3 Sunshine Place #01-01/10   Singapore 680475,Outlet,14
103.7431,1.39207389,NTUC FP Limbang Shopping Centre,Blk 533 Choa Chu Kang St 51 Limbang Shopping Centre #01-11   Singapore 680533,Outlet,21
103.749797,1.40313356,7-Eleven Choa Chu Kang Drive,Blk 689B Choa Chu Kang Dr #01-306   Singapore 682689,Outlet,22
103.748046,1.3907776,Singapore Armed Forces Football Club,1 Choa Chu Kang St 53 Choa Chu Kang Stadium #02-06   Singapore 689236,Outlet,5
103.74663,1.39709429,NTUC FP Yew Tee,"21, 23 & 25 Choa Chu Kang North 6 #B1-01 to 07 Yew Tee Point   Singapore 689715",Outlet,38
103.745039,1.38495924,NTUC FP Lot 1 Shoppers Mall,21 Choa Chu Kang Ave 4 Lot 1 Shoppers Mall #B1-05   Singapore 689812,Outlet,19
103.777386,1.44362012,Soh Choo Trading,Blk 19 Marsiling Lane #01-303   Singapore 730019,Outlet,23
103.777672,1.43868442,Golden Lagoon Trading,Blk 136 Marsiling Road #01-2182   Singapore 730136,Outlet,7
103.7741,1.43035905,Sangara Trading,Blk 305 Woodlands St 31 #01-63   Singapore 730305,Outlet,18
103.801471,1.43974273,Prime Woodlands,Blk 678 Woodlands Ave 6 #01-716   Singapore 730678,Outlet,29
103.798219,1.44581298,Tay Ah Tho Trading,Blk 768 Woodlands Ave 6 Woodlands Mart #01-21   Singapore 730768,Outlet,17
103.786928,1.4350371,NTUC FP Woodlands Civic Centre,900 South Woodlands Dr Woodlands Civic Centre #B1-01   Singapore 730900,Outlet,20
103.769655,1.44142182,Cheers Woodlands Centre,Blk 5A Woodlands Centre Rd #02-182A   Singapore 731005,Outlet,36
103.762491,1.42222507,Singapore Turf Club Racecourse,1 Turf Club Ave Singapore Racecourse   Singapore 738078,Outlet,0
103.78601,1.43609204,Metro Woodlands,1 Woodlands Square Causeway Point #01-18/19   Singapore 738099,Outlet,20
103.780425,1.43500258,Woodlands Wellington Football Club,1 Woodlands St 12 Woodlands Stadium   Singapore 738619,Outlet,8
103.774004,1.43263481,NTUC FP Marsiling MRT Station,71 Woodlands Ave 3 Marsiling MRT Station #01-01   Singapore 739044,Outlet,13
103.781122,1.42870732,NTUC FP Woodgrove,30 Woodlands Ave 1 The Woodgrove #01-11   Singapore 739065,Outlet,16
103.819764,1.44843625,NTUC FP Sun Plaza,30 Sembawang Dr Sun Plaza #B1-01/02   Singapore 757713,Outlet,40
103.824832,1.44185325,Giant Sembawang Shopping Centre,604 Sembawang Road Sembawang Shopping Centre #B1-25   Singapore 758459,Outlet,4
103.828763,1.4306183,7-Eleven Yishun,Blk 102 Yishun Ave 5 #01-137   Singapore 760102,Outlet,80
103.837858,1.43591598,Teo Sook Cheng Agency,Blk 293 Yishun St 22 #01-225   Singapore 760293,Outlet,44
103.835547,1.42170562,Afro Asia Co Pte Ltd,"Blk 604, Yishun Street 61, #01-323   Singapore 760604",Outlet,15
103.827704,1.42621097,Poon Long Heng,Blk 716 Yishun St 71 #01-276   Singapore 760716,Outlet,21
103.835388,1.41690162,NTUC FP Yishun Ring Rd,Blk 849 Yishun Ring Rd #01-3701/3703   Singapore 760849,Outlet,31
103.834974,1.42919806,NTUC FP Yishun,301 Yishun Ave 2 Yishun MRT Station #01-02   Singapore 769093,Outlet,35
103.835785,1.42969827,Cold Storage Northpoint,930 Yishun Ave 2 #B1-09/12 Northpoint Shopping Centre   Singapore 769098,Outlet,15
103.818134,1.39896103,7-Eleven Upp Thomson,912 Upp Thomson Rd   Singapore 787113,Outlet,29
103.908884,1.39646804,Prime Punggol Field,Blk 108 Punggol Field #01-02   Singapore 820108,Outlet,29
103.912976,1.39418409,NTUC FP Punggol Plaza,Blk 168 Punggol Field Rd Punggol Plaza #03-01   Singapore 820168,Outlet,21
103.858851,1.28395329,Livewire (Marina Bay Sands),"2 Bayfront Avenue, #01-01 The Shoppes at Marina Bay Sands   Singapore 018972",Branch,5
103.857414,1.29469062,Singapore Pools Suntec City,3 Temasek Boulevard Suntec City Tower 3 #01-138   Singapore 038983,Branch,17
103.84398,1.28576963,Singapore Pools People's Park Centre,"101 Upp Cross St, People's Park Centre, #01-12   Singapore 058357",Branch,60
103.844998,1.28523325,Singapore Pools Chinatown Point Branch,"133 New Bridge Road, Chinatown Point #01-36   Singapore 059413",Branch,0
103.839259,1.27702982,Singapore Pools Everton Park Branch,Blk 7 Everton Park #01-15   Singapore 080007,Branch,14
103.842685,1.27557187,Singapore Pools Tanjong Pagar Branch,Blk 1 Tanjong Pagar Plaza #01-49/50   Singapore 082001,Branch,42
103.818475,1.27814968,Singapore Pools Telok Blangah Crescent Branch,Blk 6 Telok Blangah Crescent #01-418   Singapore 090006,Branch,15
103.821672,1.25616346,Livewire (Resorts World Sentosa),26 Sentosa Gateway #B1-208   Singapore 098138,Branch,11
103.766819,1.31511255,Singapore Pools Clementi N3 Branch,Blk 325 Clementi Ave 5 #01-145   Singapore 120325,Branch,26
103.764926,1.31251012,Singapore Pools Clementi Town Centre Branch,Blk 446 Clementi Ave 3 #01-183   Singapore 120446,Branch,28
103.763762,1.30291072,Singapore Pools Clementi N7 Branch,Blk 722 Clementi West St 2 #01-164   Singapore 120722,Branch,42
