Province,PCI Score,Entry Costs,Land Access & Tenure,Transparency,Time Costs,Informal Charges,Policy Bias,Proactivity,Business Support Services,Labor Policy,Law & Order
Dak Nong,61.96,8.03,6.77,6.04,7.23,6.54,7.05,5.56,5.91,5.53,6.27
Dien Bien,62.62,6.85,5.89,6.42,6.69,6.73,7.81,6.42,6.02,5.42,6.71
Dong Nai,64.56,6.48,7.01,6.34,8.05,6.53,6.39,6.23,5.87,6.55,6.85
Dong Thap,72.81,7.18,7.96,6.77,9.50,8.09,7.56,8.22,6.67,6.73,8.32
Gia Lai,63.12,7.21,6.99,6.39,8.40,6.62,7.49,7.17,5.78,5.13,6.56
Ha Giang,61.16,7.69,5.96,5.59,7.94,6.14,5.96,6.51,5.75,5.71,7.81
Ha Nam,63.47,8.19,6.47,5.94,7.45,6.22,6.31,7.08,5.39,6.79,6.53
Ha Noi,66.93,6.74,6.07,5.81,7.93,6.72,6.06,6.06,6.68,7.85,6.21
Ha Tinh,64.56,7.20,6.33,5.21,8.14,5.61,6.03,5.62,6.86,7.46,6.44
Hai Duong,62.52,7.58,6.52,5.37,6.97,5.28,5.13,5.09,6.50,7.46,5.90
Hai Phong,69.27,7.34,6.18,6.02,7.51,6.63,6.82,6.91,6.68,8.11,7.28
Hau Giang,63.11,7.12,7.19,5.31,8.49,7.09,8.58,7.75,5.23,5.78,7.65
Hoa Binh,62.80,7.84,6.28,5.88,6.63,5.42,5.38,5.56,6.61,6.53,6.99
Hung Yen,62.23,7.81,6.34,5.31,8.24,6.72,7.64,6.99,4.82,6.51,7.45
Khanh Hoa,63.98,7.93,6.97,5.54,8.69,7.42,8.81,5.75,5.41,6.31,5.94
Kien Giang,60.01,6.97,6.25,5.18,7.71,6.43,6.09,5.48,6.53,5.53,5.64
Kon Tum,62.02,7.42,7.12,5.91,6.35,6.30,5.87,5.73,5.90,6.35,6.34
Lai Chau,61.98,7.82,5.78,6.50,6.04,5.98,6.67,6.56,5.64,5.94,6.84
Lam Dong,64.43,7.64,6.94,5.59,8.42,7.36,7.39,6.14,6.40,5.80,6.43
Lang Son,62.43,8.77,5.96,5.75,7.17,5.98,6.39,5.72,6.04,6.30,6.54
Lao Cai,65.25,7.85,6.97,6.55,6.45,6.53,5.79,6.30,5.89,6.89,6.80
Long An,70.37,7.64,7.74,6.06,9.06,7.64,8.52,7.57,7.00,6.38,7.16
Nam Dinh,63.10,8.45,6.58,5.83,6.80,6.26,6.88,5.92,5.40,6.78,7.03
Nghe An,64.73,7.39,6.54,6.04,7.61,6.22,6.35,6.31,6.78,6.25,6.53
Ninh Binh,61.98,7.15,6.91,5.09,7.54,6.74,6.78,6.10,4.76,7.37,7.14
Ninh Thuan,63.44,8.54,6.17,6.17,7.70,6.87,6.43,6.85,5.29,6.06,7.38
Phu Tho,64.52,8.12,6.78,5.69,7.58,6.67,7.14,6.76,5.17,7.12,7.42
Phu Yen,62.84,8.39,6.46,5.91,7.35,6.98,7.18,6.82,5.26,5.94,7.08
Quang Binh,62.30,7.76,6.20,5.80,6.93,4.96,5.03,5.19,6.90,6.90,5.17
Quang Nam,65.72,7.86,6.49,6.18,7.94,7.18,6.54,7.36,5.60,6.55,7.58
Quang Ngai,63.20,8.16,6.07,6.29,7.28,6.60,6.75,6.09,5.50,6.21,6.81
Quang Ninh,75.09,7.72,7.12,6.44,8.53,7.37,7.25,7.33,7.58,8.41,7.76
Quang Tri,63.07,7.73,6.95,6.50,6.57,5.65,5.54,5.86,5.63,6.99,5.75
Soc Trang,62.34,7.39,6.19,5.66,8.18,6.71,6.77,6.98,5.44,6.06,7.14
Son La,62.05,8.31,6.41,5.98,7.06,5.87,6.40,6.52,6.47,5.21,7.03
HCMC,65.70,6.81,6.66,5.68,8.04,6.71,6.69,6.07,6.55,7.12,6.35
TT-Hue,65.03,7.09,6.33,6.36,8.07,6.97,7.58,6.52,5.50,6.52,6.99
Tay Ninh,64.16,7.85,7.73,5.79,8.45,7.48,6.66,7.06,4.95,6.20,7.85
Thai Binh,64.02,8.95,5.99,6.17,7.86,6.25,6.42,6.43,5.57,6.56,6.68
Thai Nguyen,66.56,8.35,6.68,5.85,7.70,6.89,6.29,7.39,5.63,7.42,7.34
Thanh Hoa,63.91,8.17,6.94,5.34,7.29,6.47,5.95,5.42,7.03,6.41,6.02
Tien Giang,62.78,8.23,6.69,5.73,7.57,6.56,6.11,5.82,6.79,5.49,5.99
Tra Vinh,62.44,8.61,7.61,5.72,8.76,7.48,7.79,6.81,4.87,5.24,7.06
Tuyen Quang,63.46,6.24,6.14,6.43,7.29,5.93,6.98,5.72,5.45,6.98,7.22
Vinh Long,69.34,8.10,7.15,6.11,8.33,7.71,6.46,6.90,7.22,6.61,6.55
Vinh Phuc,63.84,8.33,5.80,6.34,8.34,6.25,6.37,6.59,5.03,6.94,6.49
Yen Bai,63.35,7.50,6.72,5.63,7.26,7.08,6.02,6.49,5.65,6.81,6.21
