Sub-district ID,City,District,Sub-district,Positive,Recovered,Death
3174081006,JAKARTA SELATAN,PANCORAN,CIKOKO,1089,1059,13
3174061001,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,5077,4894,63
3174041003,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,2729,2640,29
3175101002,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,3151,3048,23
3175041006,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,3339,3195,64
3172041001,JAKARTA UTARA,CILINCING,CILINCING,2444,2329,52
3175101001,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,3293,3167,36
3174091006,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,3118,3003,42
3174061005,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,2247,2153,41
3174071010,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,2679,2563,43
3175021003,JAKARTA TIMUR,PULO GADUNG,CIPINANG,3440,3286,69
3175031007,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,2461,2361,42
3175031008,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,2650,2550,55
3175031005,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,2496,2416,48
3175081005,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,3220,3075,59
3175031006,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,4606,4430,98
3174051003,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,2613,2501,50
3175091001,JAKARTA TIMUR,CIRACAS,CIRACAS,5447,5209,96
3175041003,JAKARTA TIMUR,KRAMAT JATI,DUKUH,2002,1931,34
3175071001,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,5173,4927,98
3174081004,JAKARTA SELATAN,PANCORAN,DUREN TIGA,2352,2274,34
3173051005,JAKARTA BARAT,KEBON JERUK,DURI KEPA,4039,3866,61
3173011002,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,4595,4474,69
3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,1421,1369,25
3173041011,JAKARTA BARAT,TAMBORA,DURI SELATAN,844,807,17
3173041003,JAKARTA BARAT,TAMBORA,DURI UTARA,1237,1199,22
3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,1067,1039,17
3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,1176,1149,13
3174061004,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,1904,1761,23
3174071009,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,3210,3072,48
3175051001,JAKARTA TIMUR,PASAR REBO,GEDONG,3161,3016,60
3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,498,487,7
3173031007,JAKARTA BARAT,TAMAN SARI,GLODOK,774,749,13
3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,641,613,6
3173021001,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,2257,2169,39
3174051005,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,2866,2763,39
3174051004,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,2900,2778,53
3174021007,JAKARTA SELATAN,SETIA BUDI,GUNTUR,439,425,7
3174071002,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,2269,2190,20
3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1884,1821,31
3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,1660,1588,34
3175081004,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,4036,3932,47
3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1899,1830,34
3174091001,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,6196,5970,89
3175021007,JAKARTA TIMUR,PULO GADUNG,JATI,2773,2653,44
3174041002,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,3227,3120,56
3173071004,JAKARTA BARAT,PALMERAH,JATI PULO,1700,1635,44
3175061001,JAKARTA TIMUR,CAKUNG,JATINEGARA,3982,3845,64
3175021004,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,1607,1528,33
3173021004,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,3284,3166,47
3173021006,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,3126,3014,35
3173041006,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,1507,1467,23
3173041008,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,1327,1284,18
3173081005,JAKARTA BARAT,KEMBANGAN,JOGLO,3410,3295,34
3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,3853,3738,62
3173041002,JAKARTA BARAT,TAMBORA,KALI ANYAR,1139,1103,21
3172041004,JAKARTA UTARA,CILINCING,KALI BARU,1629,1541,44
3174081002,JAKARTA SELATAN,PANCORAN,KALIBATA,3851,3701,68
3173061001,JAKARTA BARAT,KALI DERES,KALIDERES,4546,4406,75
3175051004,JAKARTA TIMUR,PASAR REBO,KALISARI,4175,3990,76
3173061004,JAKARTA BARAT,KALI DERES,KAMAL,1540,1489,36
3172011002,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,907,878,8
3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,703,676,16
3175031001,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,1442,1413,17
3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,1439,1389,28
3175041002,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,3289,3173,69
3173011005,JAKARTA BARAT,CENGKARENG,KAPUK,6231,5967,158
3172011003,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,2635,2565,25
3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,1805,1736,32
3174021004,JAKARTA SELATAN,SETIA BUDI,KARET,987,966,9
3174021003,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,2815,2715,39
3174021002,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,388,371,5
3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,1610,1569,21
3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,1842,1781,33
3175011003,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,2277,2203,35
3175021006,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,3822,3679,58
3173031006,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,1178,1144,11
3174041007,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,3306,3175,58
3174051006,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,3325,3199,60
3174051001,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,2868,2759,51
3174011004,JAKARTA SELATAN,TEBET,KEBON BARU,2549,2429,51
3172021005,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,3779,3654,54
3173051001,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,4908,4750,75
3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,1610,1556,37
3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,934,910,9
3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,2873,2773,43
3175011005,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,1603,1543,26
3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,1897,1844,38
3175081003,JAKARTA TIMUR,MAKASAR,KEBON PALA,3817,3647,71
3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,954,931,15
3173011004,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2094,2024,34
3173051007,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,2365,2276,43
3173051006,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,3016,2910,48
3173051004,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,2114,2050,31
3175091003,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,4201,4018,58
3172061003,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,3918,3782,54
3172061001,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,3910,3790,56
3173071005,JAKARTA BARAT,PALMERAH,KEMANGGISAN,2942,2850,53
3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,2383,2304,39
3173081006,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,2206,2150,22
3173081001,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,3458,3354,58
3171041002,JAKARTA PUSAT,SENEN,KENARI,1125,1098,18
3173041005,JAKARTA BARAT,TAMBORA,KERENDANG,1138,1106,16
3175071003,JAKARTA TIMUR,DUREN SAWIT,KLENDER,4299,4061,94
3172031001,JAKARTA UTARA,KOJA,KOJA,1962,1905,35
3173071006,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,1691,1641,33
3173071003,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,1580,1525,31
3171041004,JAKARTA PUSAT,SENEN,KRAMAT,1942,1872,41
3175041001,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,3297,3180,63
3174071003,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,1023,992,10
3173031002,JAKARTA BARAT,TAMAN SARI,KRUKUT,1209,1175,13
3174031005,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,949,933,7
3174021008,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,1406,1357,8
3171041005,JAKARTA PUSAT,SENEN,KWITANG,1182,1147,19
3172031003,JAKARTA UTARA,KOJA,LAGOA,3540,3411,77
3174061002,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,3715,3574,50
3174091004,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,3954,3820,59
3175101007,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,5455,5292,65
3175081001,JAKARTA TIMUR,MAKASAR,MAKASAR,3438,3292,49
3175071006,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,2917,2794,49
3175071005,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,2738,2605,61
3174031001,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,2068,1989,33
3173031005,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,811,782,14
3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1839,1769,32
3174011007,JAKARTA SELATAN,TEBET,MANGGARAI,1736,1667,23
3174011006,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,1893,1826,36
3173031003,JAKARTA BARAT,TAMAN SARI,MAPHAR,1236,1184,24
3172041003,JAKARTA UTARA,CILINCING,MARUNDA,1127,1089,19
3174071001,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,435,423,3
3171061001,JAKARTA PUSAT,MENTENG,MENTENG,2003,1938,33
3174021005,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,2483,2380,47
3174011003,JAKARTA SELATAN,TEBET,MENTENG DALAM,2941,2826,46
3173081003,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,2996,2903,38
3173081002,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,3646,3546,47
3175101004,JAKARTA TIMUR,CIPAYUNG,MUNJUL,2648,2573,30
3172051002,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,4663,4513,69
3172051001,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,5168,4950,51
3175011004,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,1587,1531,24
3173071001,JAKARTA BARAT,PALMERAH,PALMERAH,5322,5136,104
3174081001,JAKARTA SELATAN,PANCORAN,PANCORAN,1965,1900,28
3172021003,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,2154,2091,32
3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1484,1425,20
3174021006,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,1905,1831,48
3174041001,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,2743,2633,46
3171041003,JAKARTA PUSAT,SENEN,PASEBAN,2461,2384,36
3173061005,JAKARTA BARAT,KALI DERES,PEGADUNGAN,4218,4106,50
3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,1901,1830,46
3172061002,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,4221,4087,63
3172011004,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,5806,5617,67
3174041006,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,3260,3160,50
3174041005,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,3599,3458,83
3175051005,JAKARTA TIMUR,PASAR REBO,PEKAYON,3136,2998,45
3173041009,JAKARTA BARAT,TAMBORA,PEKOJAN,1746,1683,26
3174031003,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,3774,3612,61
3174081005,JAKARTA SELATAN,PANCORAN,PENGADEGAN,2105,2016,32
3175061003,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,5326,5097,90
3172011001,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,4494,4359,63
3174101001,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,2273,2188,27
3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,2304,2222,47
3174071008,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,1033,998,13
3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,1587,1538,23
3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1392,1355,20
3174101004,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2671,2580,31
3174101003,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,3786,3651,42
3175081002,JAKARTA TIMUR,MAKASAR,PINANG RANTI,2247,2168,39
3173031008,JAKARTA BARAT,TAMAN SARI,PINANGSIA,768,753,9
3175011001,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,2458,2386,41
3175021002,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,3234,3133,44
3172011005,JAKARTA UTARA,PENJARINGAN,PLUIT,3963,3826,43
3175071002,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,5203,4954,94
3175071004,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,5116,4891,83
3175071007,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,2420,2302,57
3174061003,JAKARTA SELATAN,CILANDAK,PONDOK LABU,3598,3453,51
3174051002,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,4547,4397,59
3175101003,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,2631,2519,17
3101011003,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU HARAPAN,72,69,3
3101011002,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU KELAPA,159,155,1
3101011001,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,355,346,2
3101021003,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,232,228,0
3101021002,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,299,287,6
3101021001,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,134,129,1
3174071007,JAKARTA SELATAN,KEBAYORAN BARU,PULO,672,649,10
3175021001,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,2480,2387,43
3175061005,JAKARTA TIMUR,CAKUNG,PULO GEBANG,4873,4670,90
3174041004,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,3513,3341,53
3175091005,JAKARTA TIMUR,CIRACAS,RAMBUTAN,2801,2691,46
3172031006,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,2373,2301,41
3172031004,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,2156,2074,38
3174071005,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,567,547,8
3173011003,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,3405,3284,60
3175031004,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,1269,1233,14
3174081003,JAKARTA SELATAN,PANCORAN,RAWA JATI,2356,2283,25
3175061002,JAKARTA TIMUR,CAKUNG,RAWA TERATE,978,931,18
3175021005,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,3472,3325,62
3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,3125,3023,33
3173041010,JAKARTA BARAT,TAMBORA,ROA MALAKA,259,248,5
3172041006,JAKARTA UTARA,CILINCING,ROROTAN,2276,2180,34
3174071004,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,379,362,5
3173061002,JAKARTA BARAT,KALI DERES,SEMANAN,2561,2474,47
3172041007,JAKARTA UTARA,CILINCING,SEMPER BARAT,4111,3930,77
3172041005,JAKARTA UTARA,CILINCING,SEMPER TIMUR,2098,2013,45
3174071006,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,882,869,2
3171041001,JAKARTA PUSAT,SENEN,SENEN,943,911,15
3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,2730,2611,56
3174021001,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,618,597,6
3175101005,JAKARTA TIMUR,CIPAYUNG,SETU,1879,1803,13
3173071002,JAKARTA BARAT,PALMERAH,SLIPI,2086,2026,28
3173081004,JAKARTA BARAT,KEMBANGAN,SRENGSENG,3677,3550,56
3174091002,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,4882,4670,74
3173051003,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,2082,2023,25
3173051002,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,2735,2633,38
3172041002,JAKARTA UTARA,CILINCING,SUKAPURA,2730,2627,44
3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,2260,2201,40
3172021004,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,2089,2042,21
3172021006,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,5516,5305,102
3172021002,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,5848,5649,88
3175091004,JAKARTA TIMUR,CIRACAS,SUSUKAN,3080,2920,60
3173031001,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,1351,1297,16
3173041001,JAKARTA BARAT,TAMBORA,TAMBORA,775,736,21
3173041004,JAKARTA BARAT,TAMBORA,TANAH SEREAL,1884,1835,19
3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,2024,1959,41
3173031004,JAKARTA BARAT,TAMAN SARI,TANGKI,1109,1064,18
3174091005,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,3045,2940,53
3173021005,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,2716,2626,40
3173021002,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1946,1868,30
3172021001,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,2388,2296,47
3174011002,JAKARTA SELATAN,TEBET,TEBET BARAT,2834,2744,34
3174011001,JAKARTA SELATAN,TEBET,TEBET TIMUR,1978,1900,30
3173061003,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4319,4172,69
3174031004,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,2362,2293,40
3173021003,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,2416,2346,34
3172031005,JAKARTA UTARA,KOJA,TUGU SELATAN,2252,2189,36
3172031002,JAKARTA UTARA,KOJA,TUGU UTARA,4225,4044,83
3175061006,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,1714,1635,25
3174101005,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,3037,2931,47
3175011006,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,3433,3307,62
3175011002,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,2215,2130,55
3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,1923,1866,34
3172021007,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,2887,2794,41
3173021007,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,2769,2682,44
