NAME,ADDRESS,POSTCODE,XCOORD,YCOORD,OUTLET TYPE,Gp1Gp2 Winnings
Singapore Pools Clementi N7 Branch,Blk 722 Clementi West St 2 #01-164   Singapore 120722,120722,20258.9599,31694.8728,Branch,42
Singapore Pools Clementi Town Centre Branch,Blk 446 Clementi Ave 3 #01-183   Singapore 120446,120446,20388.5979,32756.3219,Branch,28
Singapore Pools Commonwealth Crescent Branch,Blk 116 Commonwealth Crescent #01-135   Singapore 140116,140116,24295.2512,32144.0506,Branch,25
Singapore Pools Commonwealth Dr Branch,Blk 74 Commonwealth Dr #01-459   Singapore 140074,140074,23862.125,31482.102,Branch,24
Singapore Pools Empress Rd Branch,Blk 8 Empress Rd #01-35   Singapore 260008,260008,24890.5342,33189.5235,Branch,11
Singapore Pools Everton Park Branch,Blk 7 Everton Park #01-15   Singapore 080007,80007,28661.0808,28832.9907,Branch,14
Singapore Pools Fajar Rd Branch,Blk 445 Fajar Rd Fajar Shopping Centre #02-540   Singapore 670445,670445,21037.436,40633.0632,Branch,19
Singapore Pools Gek Poh Shopping Centre,Blk 762 Jurong West Street 75 Gek Poh Shopping Centre #01-338   Singapore 640762,640762,12911.5597,36762.935,Branch,30
Singapore Pools Geylang Bahru Branch,Blk 57 Geylang Bahru #01-3503   Singapore 330057,330057,31987.9227,33974.9697,Branch,19
Singapore Pools Geylang Rd Branch,149 Geylang Rd #01-02   Singapore 389233,389233,32549.8739,32633.9744,Branch,15
Singapore Pools Ghim Moh Branch,Blk 21 Ghim Moh Rd #01-161   Singapore 270021,270021,23017.3276,32489.9062,Branch,27
Singapore Pools Great World City Branch,1 Kim Seng Promenade #B1-13C Great World City   Singapore 237994,237994,27836.8459,30644.2948,Branch,6
Singapore Pools Holland Drive Branch,Blk 46 Holland Dr #01-371/373   Singapore 270046,270046,23479.2394,32343.5516,Branch,22
Singapore Pools Hougang N1 Branch,Blk 106 Hougang Ave 1 #01-1209/1211   Singapore 530106,530106,34383.7664,37311.2062,Branch,63
Singapore Pools Hougang N2 Branch,Blk 211 Hougang St 21 #01-309   Singapore 530211,530211,34049.3808,37925.3133,Branch,18
Singapore Pools Hougang N3 Branch,Blk 322 Hougang Ave 5 #01-70   Singapore 530322,530322,35104.7595,38776.5325,Branch,29
Singapore Pools IMM Branch,"2 Jurong East St 21 #02-25, IMM Building   Singapore 609601",609601,18420.6213,35167.6468,Branch,10
Singapore Pools Jln Batu Branch,Blk 7 Jln Batu #01-99   Singapore 431007,431007,33597.0697,31634.513,Branch,17
Singapore Pools Jln Tiga Branch,Blk 43 Jln Tiga #01-08   Singapore 390043,390043,33721.3702,32272.1665,Branch,26
Singapore Pools Jurong East Branch,Blk 351 Jurong East St 31 #01-93   Singapore 600351,600351,16587.7768,36332.277,Branch,37
Singapore Pools Jurong West N2 Branch,Blk 276 Jurong West 25 #01-05   Singapore 640276,640276,13577.73,37301.4145,Branch,21
Singapore Pools Jurong West N4 Branch,Blk 498 Jurong West St 41 #01-472   Singapore 640498,640498,15868.2521,36717.6399,Branch,45
Singapore Pools Jurong West N5 Branch,Blk 508 Jurong West St 52 #01-166   Singapore 640508,640508,15247.0524,36761.8396,Branch,54
Singapore Pools King George's Ave Branch,Blk 803 King George's Ave #01-200/202   Singapore 200803,200803,31068.204,32236.1949,Branch,33
Singapore Pools Lengkok Bahru Branch,Blk 63B Lengkok Bahru #01-364   Singapore 152063,152063,26012.0396,30160.6907,Branch,20
Singapore Pools Lor 1 Toa Payoh Branch,Blk 111 Lor 1 Toa Payoh #01-354   Singapore 310111,310111,29354.8571,35930.7639,Branch,21
Singapore Pools Lor 25A Geylang Branch,62 Lor 25A Geylang   Singapore 388251,388251,33558.9854,33085.8449,Branch,39
Singapore Pools Lor 4 Toa Payoh Branch,Blk 85B Lor 4 Toa Payoh #01-340   Singapore 310085,310085,29681.5961,35388.3296,Branch,27
Singapore Pools Lor 8 Toa Payoh Branch,Blk 212 Lor 8 Toa Payoh #01-39   Singapore 310212,310212,30338.8452,35868.0348,Branch,16
Singapore Pools Lorong Lew Lian Branch,Blk 2 Lor Lew Lian #01-46   Singapore 531002,531002,32710.8138,36965.5195,Branch,16
Singapore Pools MacPherson Branch,401 MacPherson Rd Hotel Windsor Shopping Centre #01-01   Singapore 368125,368125,33143.1559,34879.3462,Branch,17
Singapore Pools New Upper Changi Branch,Blk 26 New Upp Changi Rd #01-666/668   Singapore 462026,462026,39227.8401,33954.083,Branch,18
Singapore Pools Pasir Ris N2 Branch,Blk 258 Pasir Ris St 21 Loyang Point #02-311   Singapore 510258,510258,42614.025,38789.1655,Branch,42
Singapore Pools Pasir Ris N7 Branch,Blk 735 Pasir Ris St 72 Pasir Ris West Plaza #01-358   Singapore 510735,510735,39497.2756,40195.2439,Branch,27
Singapore Pools Peace Centre Branch,1 Sophia Rd Peace Centre #01-24/25   Singapore 228149,228149,29808.6198,31499.763,Branch,26
Singapore Pools People's Park Centre,"101 Upp Cross St, People's Park Centre, #01-12   Singapore 058357",58357,29186.5251,29799.3947,Branch,60
Singapore Pools Potong Pasir Branch,Blk 148 Potong Pasir Ave 1 #01-73   Singapore 350148,350148,31858.5602,34989.7343,Branch,9
Singapore Pools Rochor Centre Branch,1 Rochor Rd Rochor Centre #01-626/628   Singapore 180001,180001,30429.7478,31594.3157,Branch,39
Singapore Pools Serangoon Central Branch,Blk 254 Serangoon Central Dr #01-209   Singapore 550254,550254,32217.2998,37350.8618,Branch,32
Singapore Pools Siglap Branch,697B East Coast Road   Singapore 459060,459060,37877.694,32700.8196,Branch,29
Singapore Pools Silat Ave Branch,Blk 147 Silat Ave #01-24   Singapore 160147,160147,27752.3598,28860.9449,Branch,11
Singapore Pools Sim Lim Square Branch,1 Rochor Canal Rd Sim Lim Square #B1-37   Singapore 188504,188504,30176.5209,31707.1881,Branch,30
Singapore Pools Suntec City,3 Temasek Boulevard Suntec City Tower 3 #01-138   Singapore 038983,38983,30681.6075,30785.8423,Branch,17
Singapore Pools Tampines Mart Branch,11 Tampines St 32 Tampines Mart #01-03   Singapore 529287,529287,42109.7762,37384.0075,Branch,28
Singapore Pools Tampines N4 Branch,Blk 481 Tampines St 44 #01-277   Singapore 520481,520481,41350.1485,38187.6455,Branch,11
Singapore Pools Tanjong Pagar Branch,Blk 1 Tanjong Pagar Plaza #01-49/50   Singapore 082001,82001,29042.4355,28671.779,Branch,42
Singapore Pools Teban Gardens Branch,Blk 37 Teban Gardens Rd #01-308   Singapore 600037,600037,17909.6467,33642.1233,Branch,29
Singapore Pools Teck Whye Branch,Blk 141 Teck Whye Lane #01-271   Singapore 680141,680141,19014.8628,40264.5928,Branch,34
Singapore Pools Telok Blangah Crescent Branch,Blk 6 Telok Blangah Crescent #01-418   Singapore 090006,90006,26348.0649,28956.8228,Branch,15
Singapore Pools Upp Boon Keng Branch,Blk 18 Upp Boon Keng Rd #01-1149/1151   Singapore 380018,380018,32322.0001,33003.4797,Branch,17
Singapore Pools Upp Serangoon Branch,1028 Upper Serangoon Rd   Singapore 534766,534766,34140.9765,38332.7146,Branch,13
Singapore Pools Upp Thomson Branch,200 Upp Thomson Rd Thomson Imperial Court #01-06   Singapore 574424,574424,28305.9513,37097.2797,Branch,17
Singapore Pools Whampoa Dr Branch,Blk 88 Whampoa Dr #01-857   Singapore 320088,320088,30432.0191,33944.2557,Branch,33
Singapore Pools Woodlands 888 Plaza Branch,Blk 888 Woodlands Dr 50 888 Plaza #01-711   Singapore 730888,730888,23770.901,46534.8212,Branch,32
Singapore Pools Woodlands N3 Branch,Blk 305 Woodlands St 31 #01-77   Singapore 730305,730305,21409.8301,45787.4386,Branch,9
Singapore Pools Woodlands N5 Branch,Blk 548 Woodlands Dr 44 Vista Point #02-04   Singapore 730548,730548,23617.0642,45843.1564,Branch,15
Singapore Pools Woodlands N8 Branch,Blk 883 Woodlands St 82 #01-472   Singapore 730883,730883,23271.2176,47168.1086,Branch,35
Singapore Pools Yishun N1 Branch,Blk 101 Yishun Ave 5 #01-37   Singapore 760101,760101,27371.2413,45808.4632,Branch,40
Singapore Pools Yishun N2 Branch,Blk 256 Yishun Ring Rd #01-1001   Singapore 760256,760256,28741.292,46200.1892,Branch,15
Singapore Pools Yishun N4 Branch,Blk 415 Yishun Ave 11 #01-311   Singapore 760415,760415,29396.7967,45131.9526,Branch,21
Singapore Pools Yishun N7 Branch,Blk 761 Yishun St 72 #01-340   Singapore 760761,760761,27995.2742,45239.1879,Branch,11
7-Eleven Bedok North,Blk 123 Bedok North St 2 #01-158   Singapore 460123,460123,39577.2597,34601.3595,Outlet,15
7-Eleven Big Mac Centre,51 Ang Mo Kio Ave 3 Big Mac Centre #01-01A   Singapore 569922,569922,29539.9184,39035.5305,Outlet,18
7-Eleven Bukit Batok West,Blk 132 Bukit Batok West Ave 6 #01-304   Singapore 650132,650132,18252.6055,36947.7798,Outlet,16
7-Eleven Changi,38-A Changi Rd   Singapore 419701,419701,35290.4842,33165.1515,Outlet,17
7-Eleven Choa Chu Kang Drive,Blk 689B Choa Chu Kang Dr #01-306   Singapore 682689,682689,18705.2353,42777.0616,Outlet,22
7-Eleven Circular Rd,58 Circular Rd #01-01   Singapore 049413,49413,29772.2435,29832.4175,Outlet,12
7-Eleven Clementi Street 11,Blk 109 Clementi St 11 #01-15   Singapore 120109,120109,21019.5171,33793.5979,Outlet,11
7-Eleven Erskine Road,7 Erskine Rd   Singapore 069320,69320,29318.3724,29296.068,Outlet,15
7-Eleven Eunos,Blk 1A Eunos Crescent #01-2469/2471   Singapore 401001,401001,35724.393,33726.959,Outlet,42
7-Eleven Foch Road,27 Foch Rd Hoa Nam Building #01-07/08   Singapore 209264,209264,30964.8285,32779.7492,Outlet,10
7-Eleven Jln Leban,14 Jln Leban Sembawang Hill Estates   Singapore 577553,577553,27547.8027,39287.8573,Outlet,28
7-Eleven Kim Tian,8 Kim Tian Rd   Singapore 169247,169247,27550.4624,29723.9023,Outlet,13
7-Eleven McCallum Street,3 McCallum Street   Singapore 069044,69044,29586.7306,29126.6339,Outlet,14
7-Eleven Owen Road,Blk 45 Owen Rd #01-295   Singapore 210045,210045,29947.9834,33097.6078,Outlet,23
7-Eleven Plaza Singapura,68 Orchard Rd Plaza Singapura #01-51   Singapore 238839,238839,29307.5238,31463.6673,Outlet,15
7-Eleven Sin Ming,244H Upp Thomson Rd   Singapore 574369,574369,28145.7847,37284.5043,Outlet,17
7-Eleven Sixth Avenue,6 Sixth Ave   Singapore 276472,276472,23746.631,34812.7016,Outlet,25
7-Eleven Turf City,200 Turf Club Rd Turf City #01-49/50   Singapore 287994,287994,23598.8366,35536.1692,Outlet,11
7-Eleven Upp Thomson,912 Upp Thomson Rd   Singapore 787113,787113,26310.1585,42315.5239,Outlet,29
7-Eleven Yishun,Blk 102 Yishun Ave 5 #01-137   Singapore 760102,760102,27493.0307,45816.0208,Outlet,80
A P Mini Mart,Blk 234 Lor 8 Toa Payoh #01-286   Singapore 310234,310234,30739.5612,35639.9422,Outlet,17
Afro Asia Co Pte Ltd,"Blk 604, Yishun Street 61, #01-323   Singapore 760604",760604,28248.0142,44830.5012,Outlet,15
B.H. Mini Mart,Blk 137 Potong Pasir Ave 3 #01-142   Singapore 350137,350137,31638.7822,35114.0125,Outlet,15
Balestier Khalsa Football Club,297 Lor 6 Toa Payoh Toa Payoh Stadium   Singapore 319389,319389,30030.789,34721.8429,Outlet,9
Cheers - Hougang Central,Blk 810 Hougang Central #01-214   Singapore 530810,530810,34713.8493,39290.6505,Outlet,22
Cheers Bedok North,Blk 539 Bedok North St 3 #01-625   Singapore 460539,460539,38237.4501,34835.3263,Outlet,23
Cheers Changi Village,Blk 4 Changi Village Rd #01-2074   Singapore 500004,500004,45176.5747,41200.1702,Outlet,40
Cheers Haig Rd,Blk 12 Haig Rd #01-333/335   Singapore 430012,430012,34990.1749,33098.4304,Outlet,11
Cheers Hougang Ave 3,Blk 23 Hougang Ave 3 #01-281   Singapore 530023,530023,34389.2322,38544.7888,Outlet,5
Cheers New Upper Changi Road,Blk 59 New Upp Changi Rd #01-1272   Singapore 461059,461059,39949.9935,34033.4912,Outlet,16
Cheers Woodlands Centre,Blk 5A Woodlands Centre Rd #02-182A   Singapore 731005,731005,20915.2432,47010.7178,Outlet,36
Cheng Chew Wah Agency,20 Frankel Terrace   Singapore 458022,458022,37034.2591,33482.7874,Outlet,19
Cheng Tai Boon Beng,5 Koek Rd Cuppage Plaza #B1-22   Singapore 228796,228796,28824.4161,31594.3555,Outlet,17
Chng Siow Eng Agency,Blk 625 Elias Rd Elias Mall #01-316   Singapore 510625,510625,40093.6764,40061.0868,Outlet,26
Choice Decor Bedok North,Blk 416 Bedok North Ave 2 #01-31   Singapore 460416,460416,38835.6096,34513.4358,Outlet,12
Choice Decor Co-Operative Society Ltd,Blk 22 Sin Ming Rd #01-232   Singapore 570022,570022,28651.5258,37671.9592,Outlet,21
Chong Hoe Tong,Blk 21 Lor 7 Toa Payoh #01-290   Singapore 310021,310021,30696.7463,35268.9468,Outlet,23
Chop Yeo Thong Heng,Blk 83 MacPherson Lane #01-249   Singapore 360083,360083,33810.2233,34861.7614,Outlet,12
Chua Hong Kim Trading,Blk 237 Serangoon Ave 3 #01-106   Singapore 550237,550237,32079.7453,37306.6007,Outlet,31
Chua Seng Dept Store,343 Bedok Rd   Singapore 469526,469526,40681.4305,34831.141,Outlet,30
Chua Yan Kee,Blk 49 Tanglin Halt Rd #01-349   Singapore 142049,142049,23998.068,31420.1743,Outlet,21
Chuan Hao Dept Store,Blk 19A Dover Crescent #01-04   Singapore 131019,131019,22572.4605,32186.0831,Outlet,12
Chwee Huat Trading,Blk 74 Whampoa Dr #01-322   Singapore 320074,320074,30721.1411,34104.7757,Outlet,7
Clifford Gift Shop,Blk 532 Ang Mo Kio Ave 10 #01-2459   Singapore 560532,560532,30367.2897,39534.6825,Outlet,42
Cold Storage Compass Point ,1 Seng Kang Square #B1-38 Compass Point Shopping Centre   Singapore 545078,545078,34871.4423,41551.898,Outlet,21
Cold Storage Northpoint,930 Yishun Ave 2 #B1-09/12 Northpoint Shopping Centre   Singapore 769098,769098,28274.4944,45714.2878,Outlet,15
Cold Storage Parkway Parade,80 Marine Parade Rd Parkway Parade #B1-84   Singapore 449269,449269,36008.8613,31492.4522,Outlet,16
Cold Storage UE Square,81 Clemenceau Ave UE Square #02-18   Singapore 239917,239917,29033.107,30506.5241,Outlet,6
Dawn Florist,21 Hougang St 51 Hougang Green Shopping Mall #01-04A   Singapore 538719,538719,34068.3399,40143.5433,Outlet,25
Delisia Agency Pte Ltd,149 Rochor Rd Fu Lu Shou Complex #B1-26   Singapore 188425,188425,30356.7647,31533.5879,Outlet,52
Everbright Services,Blk 108 Depot Rd #01-17   Singapore 100108,100108,25438.018,29268.3328,Outlet,15
Evercool Engineering,Blk 95 Lor 4 Toa Payoh #01-50   Singapore 310095,310095,29743.3642,35672.4394,Outlet,23
Everstream Trading,Blk 283 Bukit Batok East Ave 3 #01-281   Singapore 650283,650283,19546.6591,36598.1846,Outlet,29
FairPrice Xpress MacPherson,"114 MacPherson Rd, Exxon-Mobil   Singapore 348504",348504,32369.5881,34565.2352,Outlet,14
FairPrice Xtra Jurong Point 2,63 Jurong West Central 3 #03-01 Jurong Point Shopping Centre   Singapore 648331,648331,13760.4279,35730.3626,Outlet,27
Fatt Chye Heng Trading,Blk 7 Hougang Ave 3 #01-48   Singapore 530007,530007,34698.3382,38265.1783,Outlet,41
Feng Yuen Agency Enterprise,150 South Bridge Rd Fook Hai Building #B1-26   Singapore 058727,58727,29459.4705,29711.7445,Outlet,29
Gerk Chwee Trading,4 Kensington Park Rd   Singapore 557256,557256,31639.6982,38526.2932,Outlet,31
Geylang United Football Club,"1 Bedok North Street 2, Bedok Stadium Gate 3,   Singapore 469642",469642,39745.476,34253.3223,Outlet,15
Giant Pioneer Mall,Blk 638 Jurong West St 61 Pioneer Mall #03-01   Singapore 640638,640638,12849.468,35982.1285,Outlet,20
Giant Sembawang Shopping Centre,604 Sembawang Road Sembawang Shopping Centre #B1-25   Singapore 758459,758459,27055.6218,47058.3262,Outlet,4
Giant Sunshine Place,475 Choa Chu Kang Ave 3 Sunshine Place #01-01/10   Singapore 680475,680475,17505.2382,39986.6034,Outlet,14
GIANT - JUNCTION 10,"1, WOODLANDS ROAD, #02-01, JUNCTION 10   Singapore 677899",677899,19845.1921,40285.9415,Outlet,0
Goh Geok Kwee Agency,Blk 61 Telok Blangah Heights #01-107   Singapore 100061,100061,25627.9827,28686.7019,Outlet,14
Golden Lagoon Trading,Blk 136 Marsiling Road #01-2182   Singapore 730136,730136,21807.4199,46708.0062,Outlet,7
Hin Teck Leong Trading Co,Blk 640 Rowell Rd #01-68   Singapore 200640,200640,30400.6348,32181.8171,Outlet,17
Hock Soon Ann,Block 73 Bedok South Ave 3 #01-454   Singapore 460073,460073,40314.5635,33566.7556,Outlet,6
Hougang United Football Club,100 Hougang Ave 2 Hougang Stadium   Singapore 538856,538856,33858.3798,39057.6323,Outlet,16
Jake Merchandise Associates,Blk 503 Tampines Central 1 #01-283   Singapore 520503,520503,40440.9928,37543.9126,Outlet,32
Keppel Credit Union Co-operative Ltd,Blk 1 Jln Bukit Merah #01-4536   Singapore 150001,150001,25210.7047,29878.8603,Outlet,10
Kiamly Trading,Blk 211 Serangoon Ave 4 #01-06   Singapore 550211,550211,32456.8199,37601.9384,Outlet,5
Kim Chwee Trading,Blk 256 Jurong East St 24 #01-385   Singapore 600256,600256,17426.2066,36259.4815,Outlet,41
Kis Store,18 Cross Street Marsh & McLennan Centre #B1-01   Singapore 048423,48423,29509.1524,29550.1153,Outlet,47
Kwek Lee Eng Agency,200 Jln Sultan Textile Centre #01-29   Singapore 199018,199018,31126.6432,31773.6942,Outlet,30
Laura's Gifts,Blk 442 Pasir Ris Dr 6 #01-42   Singapore 510442,510442,41870.1758,38995.5201,Outlet,28
Lee Ah Lan Trading,Blk 61 Teban Gardens Road #01-05 Teban Place   Singapore 600061,600061,17454.5371,33837.1368,Outlet,14
Lee Eng Trading Store,Blk 201B Tampines St 21 #01-1083   Singapore 522201,522201,41321.8271,37281.8605,Outlet,44
Lee Wah TV & Electric Co,623 Geylang Rd   Singapore 389561,389561,34021.2147,32955.7838,Outlet,32
Li Thoe Trading,Blk 119 Aljunied Ave 2 #01-78   Singapore 380119,380119,33900.2612,33496.3928,Outlet,44
Lim Heng Ee,Blk 16 Upp Boon Keng Rd #01-1113   Singapore 380016,380016,32265.5417,33081.6282,Outlet,18
Lucky Hill,Blk 112 Bukit Purmei Rd #01-209   Singapore 090112,90112,27171.9347,28549.9153,Outlet,16
Mee Lee Cheong Pte Ltd,Blk 139 Tampines St 11 #01-32   Singapore 521139,521139,40349.3055,36468.125,Outlet,40
Metro Woodlands,1 Woodlands Square Causeway Point #01-18/19   Singapore 738099,738099,22735.2727,46421.3332,Outlet,20
Nalayanee Trading Enterprise,127 Upp Paya Lebar Rd   Singapore 534839,534839,33910.9429,35623.1611,Outlet,23
Nan Huat Wine Store,Blk 513 Bishan St 13 #01-508   Singapore 570513,570513,29806.152,36824.5467,Outlet,40
Nel's Store,Blk 741 Bedok Reservoir Rd #01-3073   Singapore 470741,470741,37900.3067,35546.631,Outlet,27
Ng Teo Guan Self Service,Blk 301 Ubi Ave 1 #01-251   Singapore 400301,400301,35638.2033,34763.9036,Outlet,48
NTUC FP Yew Tee ,"21, 23 & 25 Choa Chu Kang North 6 #B1-01 to 07 Yew Tee Point   Singapore 689715",689715,18441.9934,42149.6352,Outlet,38
NTUC FP - CHEERS HARBOURFRONT ,1 Maritime Square Harbourfront Centre #01-82   Singapore 099253,99253,26543.1578,27418.588,Outlet,32
NTUC FP Ang Mo Kio Hypermarket,53 Ang Mo Kio Ave 3 Ang Mo Kio Hub #B2-26   Singapore 569933,569933,29679.5749,39022.9506,Outlet,32
NTUC FP Bedok North St 1,Blk 212 Bedok North St 1 #01-147   Singapore 460212,460212,38941.5901,34239.5852,Outlet,37
NTUC FP Bedok North St 4,Blk 89 Bedok North St 4 #01-77/79   Singapore 460089,460089,39674.5364,35017.3597,Outlet,29
NTUC FP Bishan St 13,Blk 510 Bishan St 13 #01-520   Singapore 570510,570510,29822.2048,36778.7573,Outlet,26
NTUC FP Boon Lay,Blk 221 Boon Lay Place Boon Lay Shopping Complex #02-200   Singapore 640221,640221,14551.1907,36501.0197,Outlet,35
NTUC FP Bukit Batok MRT Station,10 Bukit Batok Central Bukit Batok MRT Station #01-08   Singapore 659958,659958,18678.1364,36790.3619,Outlet,22
NTUC FP Bukit Merah,Blk 166 Bukit Merah Central #01-3527   Singapore 150166,150166,26260.6352,29509.8354,Outlet,30
NTUC FP Bukit Panjang Plaza,1 Jelebu Rd Bukit Panjang Plaza #02-11/12   Singapore 677743,677743,20331.2909,40209.7833,Outlet,22
NTUC FP Bukit Timah Plaza,1 Jln Anak Bukit Bukit Timah Plaza #B1-01   Singapore 588996,588996,21908.7846,35644.6712,Outlet,21
NTUC FP Century Square,"NTUC FP Century Square, 2 Tampines Central 5 #B1-07/08/17   Singapore 529509",529509,40293.6502,37163.0185,Outlet,1
NTUC FP Changi Business Park Hypermarket,8 Changi Business Park Ave 1 #01-51 & #02-51   Singapore 486018,486018,42530.892,35224.3507,Outlet,0
NTUC FP Clementi Ave 2,Blk 352 Clementi Ave 2 #01-141/143   Singapore 120352,120352,21104.6993,32951.1963,Outlet,34
NTUC FP Clementi Ave 3,Blk 451 Clementi Ave 3 #01-307   Singapore 120451,120451,20472.4998,32771.5755,Outlet,25
NTUC FP Coronation,587 Bukit Timah Rd Coronation Shopping Plaza #01-01   Singapore 269707,269707,25405.102,34008.3337,Outlet,23
NTUC FP Dawson,Blk 57 Dawson Road #01-07 Dawson Place   Singapore 142057,142057,25513.0007,30566.0075,Outlet,8
NTUC FP Downtown East,1 Pasir Ris Close #E02-03 E ! Hub   Singapore 519599,519599,41461.717,39953.7992,Outlet,8
NTUC FP Eastpoint Mall,3 Simei St 6 Eastpoint Mall #B1-04   Singapore 528833,528833,41379.6935,36078.0185,Outlet,32
NTUC FP Havelock Rd,Blk 50 Havelock Rd #01-755   Singapore 160050,160050,27274.8621,30241.1538,Outlet,16
NTUC FP Hougang Mall,90 Hougang Ave 10 NTUC Hougang Mall #B1-07   Singapore 538766,538766,34729.5239,39387.8072,Outlet,32
NTUC FP Hougang Point,1 Hougang St 91 Hougang Point Central Place #02- 01   Singapore 538692,538692,33133.8846,39739.864,Outlet,24
NTUC FP Hougang St 21,Blk 202 Hougang St 21 #01-00   Singapore 530202,530202,33644.5379,37739.3856,Outlet,19
NTUC FP Jurong East,Blk 135 Jurong East St 13 #01-337   Singapore 600135,600135,17580.2089,35109.9036,Outlet,55
NTUC FP Jurong Point,1 Jurong West Central 2 Jurong Point #B1-09   Singapore 648886,648886,13907.0305,35735.6777,Outlet,32
NTUC FP Kallang Bahru,Blk 71 Kallang Bahru #01-529   Singapore 330071,330071,32125.682,33694.2359,Outlet,26
NTUC FP Killiney Rd,131 Killiney Rd CGH Building #01-01/02/03   Singapore 239571,239571,28580.4218,31071.6324,Outlet,13
