school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 JURONG WEST STREET 61,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),241,MDM LEE YEW KOON TONNINE,MR SYAMSUL ANWAR BIN AWANG,MDM CHAN YEE CHIN WILNA,MR GOH GIN HOWE,na,na,na,Confident Thinkers. Adaptable Learners.Passionate Leaders.,"We develop every Frontierer to reflect deeply, embrace differences and serve as a role model to overcome future challenges.","We are guided by our philosophy of 'Strong Fundamentals, Future Learning' which underpins the holistic education that Frontier provides to prepare our pupils to thrive in a fast-changing and highly-connected world. We want our pupils to be grounded with strong fundamentals so that they can partake in future learning.  At Frontier, we believe that pupils are at the centre of all that we do. We want to nurture our pupils to grow up to be confident thinkers, adaptable individuals and passionate leaders in the 21st century. We strive to provide holistic education to all our pupils through exciting, engaging and enriching learning experiences. We care about the socio-emotional learning of our pupils so that they care for themselves and others. We keep ourselves abreast of effective teaching and learning strategies and pedagogies through reflective practices and collaboration. Staff also grow ourselves so that we are always able to give our best to our pupils.   Teaching and learning in the school will be deep and mindful. Good learning is not always speedy; it is reflective. We want our pupils to be able to reflect, to discover and even to slow down at times and exercise metacognition. In this way, creativity in pupils and breakthroughs can be fostered and learning deepened.",JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school has 5 Key Programmes to achieve our vision for Frontierers:  Frontier's Approach to Communicating Effectively (F@CE) aims to develop our pupils to have effective communication and critical thinking skills, so that they can articulate their knowledge, ideas and thinking clearly and confidently while displaying school values.  Thinking Silhouette is a customised thinking model that helps the school realise our vision of developing our pupils into 'Confident Thinkers'. Each thinking silhouette is a profile of one facet of a person's thinking.   Restorative Practices is the school's approach to inculcate a culture of care and restorative relationships in the school. Frontierers will understand the importance of making responsible personal choices that positively affect their relationships. They are also taught to understand that they have the power to contribute towards building a positive environment.  danceFRONT is the school's approach to deliver Dance and Performing Arts education to Frontierers. The school believes that dance and performing arts develop self-esteem and confidence of participants, as well as self-management from the listening and concentration required during the activity.  exemplary Leaders@Frontier (eLF) aims to harness the leadership potential and develop the leadership skills in every child by providing each with relevant opportunities and training. The core beliefs of eLF are that leadership can be taught and learned, is a developmental process, is a collective activity, and is rooted in service."
WESTWOOD PRIMARY SCHOOL,http://www.westwoodpri.moe.edu.sg,1 JURONG WEST STREET 73,649188,64121690,na,67945084,na,westwood_ps@moe.edu.sg,Boon Lay MRT Station,"181, 502 & 243",MR NG YEOW LING,MS TRACY TAN I- LIAN,MRS RUTH TAI MEI FEN,MR CHIN HONG FAI HUMPHREY,na,na,na,A positive institution in Jurong West that inspires the community to lead meaningful and engaged lives,To provide positive education that nurtures thriving teachers and flourishing pupils,"Westwood Primary was founded in 2013, premised on the core philosophy of Positive Education.  Our overarching goal is for our staff and pupils to strive for both excellence and wellbeing, and for our school community to thrive and flourish.  Learning is delivered with positive engagement so as to invite every pupil on a journey of discovery and holistic development.  Discipline is promoted in a respectful way to engender self-reflection and growth.  By emphasising positive motivation and affirmative attitudes, we nurture an awareness of greatness and potential in each and every staff and pupil, as they set personalised goals and ultimately demonstrate creative expression, problem-solving, and meaningful achievement.    In keeping with the philosophy of Positive Education, Westwood Primary's Staff Belief is that Every One is a Talented and Unique Individual with Potential for Success. Our Westwood School Culture is one of care, love and drive, and we aspire in going the extra mile in everything we do.  To enable all staff and pupils to believe that he or she can be an agent of change, with opportunities to use his or her talents and skills to benefit others, our positive school culture is grounded in our core values of A Heart of Gratitude, A Resilient Mindset, A Passion for Community and A Future-Ready Confidence.  A THRIVE Framework for Positive Education has been developed to ensure that school policies, practices and programmes are aligned to the six key domains of positive accomplishment (Thinking mindfully); positive health (Healthy coping); positive relationship (Relating well); positive engagement (In the moment); positive meaning (Values-driven actions); and positive emotions (Emotions of positivity).  To this end, we actively partner parents and the wider community, seeking opportunities to contribute to community life, while living out the message of positivity, hope and well-being.",JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,"Aligned with positive education, our student development programmes serve to develop our pupils' resilience and  promote an understanding of his or her own strengths.  We also focus on optimism and on the importance of doing social good.  Accordingly, our signature school programmes are as follows:   Applied Learning Programme (Positive Design & Innovation):  With inter-disciplinary project work as a platform, pupils learn about the principles of positive design and thinking protocols, and explore how their ideas and observations can be turned into useful designs and solutions that benefit their peers and their community.   Learning for Life Programme (Student Leadership & Community Service): Throughout their time in Westwood Primary, every child is given an opportunity for leadership, and comprehensive training and mentoring is provided to support each child is their leadership journey. Westwoodians are also given many opportunities to give back to their community via class-wide and level-wide programmes.   Holistic Learning, Assessment and Reporting: Westwood Primary has adopted a whole-school approach towards holistic assessment, aligning PERI-HA practices with its founding philosophy of Positive Education. Formative Assessment (FA) practices are adopted in all classrooms, so as to promote learner engagement and ensure every child has a voice. Positive questioning and process praise help children to focus on the process of learning.  Westwood Primary also engages parents in Holistic Assessment, via the annual Teacher-Parent-Pupil Conference, where pupils share what and how they have learnt with their parents, prompting authentic discussions that involve each child in personalised learning.   Programme for Active Learning (PAL) for Lower Primary Pupils:  Our PAL Framework is guided by VIP principles, with the programme being Values-Driven, Incorporating Innovative Learning and being Positive-Education-focused."
PUNGGOL GREEN PRIMARY SCHOOL,http://www.punggolgreenpri.moe.edu.sg,98 PUNGGOL WALK,828772,65383011,na,65383210,na,admin_punggolgreen_ps@moe.edu.sg,Punggol MRT Station,na,MDM CHUA LAY TIN,MR GOH CHANG CHUEN,MISS TAN HUILING CHERYL,MDM TAN BETTY,na,na,na,"Every PGPS Student, A Future-Ready Leader","Engaging Learners, Nurturing Leaders, Empowering Givers","Our school's emphasis lies beyond academic achievements. We strive to enhance holistic learning and provide a balance between equipping our students with knowledge and developing in them the 21st Century competencies and values that will prepare them as Future-Ready Leaders to thrive in an ever changing future that is uncertain and ambiguous.   In alignment with that vision, Punggol Green Primary has also adopted the FISH! Philosophy to build a positive and dynamic school culture that enhances teaching and learning. Through the practice of the FISH! Philosophy, a safe and playful learning environment is created within the school to enhance personal responsibility and internal motivation amongst staff and students.  Based on FISH! principles, our teachers created four school mascots - Playto, Attie, Makena and Beth to personify these principles for our students to encourage and motivate our students to embrace the FISH! Philosophy as their way of life, the four principles are integrated into various school programmes.  In order to extend this positive culture to our students' homes, their parents are encouraged to participate in the FISH! Inventory so that they can practise these four simple and yet powerful principles of the FISH! Philosophy with their children at home.",PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"LLP in Environmental Education - LEAP As our students are the future stewards of our environment that sustains our society and future generations, they need to understand the issues, relationships and interactions between natural and human systems. Hence, our school is currently developing our LLP in Environmental Education - LEAP. The LEAP curriculum intends to heighten students' awareness and knowledge about the environment and develop CCE values through the care and appreciation of nature, and 21st century competencies.  At the end of 6 years of LEAP curriculum in PGPS, we aim to develop our students to become environmentally literate citizens.  School And Parent Partnership (SAPP) Parents play a significant role in support of the child's character and citizenship development. Our parents at PGPS contribute actively through the FISH! Inventory on the demonstration of FISH! Philosophy and school values beyond school. Some of the parents also inspired our students through the ""Our Aspiration"" programme where they shared about the knowledge, skills and values that are vital towards achieving their goals in building their career.   In a child's educational journey, the partnership between school and home cannot be undermined. At PGPS, we recognize the need to constantly engage the parents to work in tandem with them to develop the child to his/her maximum potentials. To provide parents with a fuller picture of their child's holistic development, the school conducts termly tripartite Parent-Teacher-Child Conferences where the students get to demonstrate their learning in various subject areas and share their reflections with their parents and teachers. This allows parents to see and hear from their child, first-hand, what he/she has learnt throughout the semester, providing parents with an all-rounded view of the child's academic and character development. Such student-centric sessions allow the child to assume a more active role in his/her learning."
PUNGGOL VIEW PRIMARY SCHOOL,http://www.punggolviewpri.moe.edu.sg,9 PUNGGOL PLACE,828845,6570 1588,na,6570 3680,na,punggolview_ps@moe.edu.sg,Punggol MRT Station,50 382,DR ANG WEK CHENG,MR CHUA CHYE HOCK,MDM SHARIFAH SAMIRAH BTE SYED MOHAMAD,MR CHONG WEE MING,na,na,na,"Confident Learners, Active Citizens After 6 years in Punggol View, we want our students to become confident learenrs and active citizens.   A Confident Learner is  -Cognitively robust  -Aesthetically aware -Physically active  An Active Citizen is  -Morally upright -Emotionally adept -Socially responsible  We want our students to strive to ""Do the Right Thing"" and""Give of their Best"" for future learning, employment and citizenship.","Touching Lives, Inspiring Future To nurture the whole child through a values-based,holistic education in a caring and rich learning environment so that our students will become persons of character who are good and useful citizens of tomorrow.  We want to provide strong fundamentals for Future Learning that includes: - Nurturing sound values and social-emotional skills to develop character. - Develop the love for Singapore for active citizenry.","We adopt the Starfish Story as our philosophy to guide us to make a difference in the lives of our students, staff and stakeholders.  Our motto ""Grow and Glow"" is an aspiration that as the school grows, it will glow in the community as a school of distinction.    We believe in nurturing the whole child by guiding our students to develop their moral, emotional, social, cognitive, aesthetic and physical (MESCAP) domains to the fullest so that they will become persons of character who are good and useful citizens of tomorrow.  We want our students to:    - Learn the subject disciplines comprising the Languages, Social Studies, the Arts and Physical Education, Mathematics and Science so as to build a strong foundation in literacy, numeracy, scientific and life skills for the future,   - Inculcate and cultivate values and social-emotional skills to develop moral character,   - Foster the emerging 21st Century Competencies so as to develop performance character, and   - Enrich our students' learning experiences especially in the areas of creativity, outdoor education, student leadership and talent development so as to meet their diverse needs and interests, and to realise their full potential.  We believe that we can do so by building a culture of care and learning in the school.  We provide a caring climate for our students to grow through positive teacher-student relationship and restorative practice to manage good behaviour and peer relationship.  We design a rigorous and sound school-based curriculum to foster the joy of learning and the drive for lifelong learning.  To further develop our students' talent and interest, our students are provided opportunities to experience the following key programmes, namely, creativity and play-based learning, outdoor education, and student life and leadership programme.  We will need to: (1) enhance our staff capacity and well-being and (2) collaborate with the home and community to bring out the best in every student.",PUNGGOL,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Living Out our Values Every day (LOVE@PGVP) We believe that values are caught and not just taught. The school values are taught during our Character and Citizenship Education (CCE) Lessons and reinforced through our school-based programmes.  Students are taught to reflect on their actions on a Value Card and teachers will endorse the card upon the successful completion of the observable behaviours or actions. The students could be rewarded with a value badge. We hope by so doing, our students will live out these values as habits for life  Learning for Life Programme - Outdoor Education   We believe firmly that Outdoor Education (OE) is a good opportunity to develop ruggedness and resilience in our students. Hence, the school has put in place a comprehensive Learning for Life Programme (LLP) on Outdoor Education. This allows students to work in teams and collaborate with their peers to build character, evoke their curiosity about nature, and develop a feeling of wanting to protect the environment via Values in Action. In the process, our students will learn to navigate, assess risks and make decisions about their own safety and wellbeing, while enjoying the outdoors.  These are essential life skills and values that we hope to develop in our students.   Creative LEGO Our signature Creative LEGO ensures that our students acquire the learning outcomes of Confidence, Curiosity and Collaboration through a series of art-related experiences such as PAL. Students will acquire an appreciation for sculpture building as well as develop skills in aesthetics and creativity.  Through generating ideas creatively in groups and responding to issues and challenges, our students would develop 21st century competencies such as collaboration and communicating effectively.  Most importantly, our students will enjoy the learning through active engagement with the element of fun."
SENGKANG GREEN PRIMARY SCHOOL,http://www.sengkanggreenpri.moe.edu.sg/,15 FERNVALE ROAD,797636,63864255,na,62428796,na,sengkanggreen_ps@moe.edu.sg,Fernvale LRT (SW5) - (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.Punggol Temp Interchange to Bishan Interchange - Bus 50",MR GAU POH TECK,MR LIM JIT HIN,MISS SABARIAH BTE SUBARI,MDM MARY YAP PEI IMM,na,na,na,Vibrant School Culture of Care Spirit of Excellence,"To nurture healthy and happy individuals with strength of character, ready to serve, ready for the future.",na,SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Speech & Drama
SPRINGDALE PRIMARY SCHOOL,http://springdalepri.moe.edu.sg/,71 ANCHORVALE LINK,544799,+65 63157600,na,+65 63153351,na,springdale_ps@moe.edu.sg,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,"50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",MDM NEO LAY WAH,MR HO WEE MIN KELVIN,MR CHAN SOON HUA,na,na,na,na,"Every Springdalite is a Secure Individual, a Leader of Self-worth and a Significant Citizen.","To engage young minds, mould their character and equip them for the future.","The school is guided by its education philosophy of Play.Passion.Purpose (3Ps). This is anchored on the belief that the learning process is equally, if not more important, than the learning content itself.  Every child is encouraged to explore and discover new knowledge through experiential and authentic learning (Play) so that he or she can discover the joy of learning. It is hoped that in doing so, the child will develop the drive to deepen his or her mastery (Passion) and eventually to harness that for the betterment of the community and society (Purpose).   This education philosophy is undergirded by the school's emphasis on character building. Time is set aside to ensure that values are explicitly and systematically transmitted through age appropriate activities to all students.   The school seeks to develop a strong and cohesive culture premised on the GREAT ethos of Growth, Radiance, Empathy, Abundance and Truth. All staff serve as role models for the students and guide them in embracing and displaying the R3ICH values of Respect, Responsibility, Resilience, Integrity, Care & Harmony.",SENG KANG,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school's Applied Learning Programme (ALP) is Out-of-Door Education (ODE) which seeks to provide an integrated learning experience through creative installations within the school such as the Low-elements Rope Trail, Science Eco-garden Trail and the Learning Maze. In addition, it also provides authentic learning experiences for the students by tapping on learning spaces both within and beyond the school. For instance, learning journeys in this school are specially designed by the teachers to enable inquiry learning. The school also trains the students to adopt an innovative and solution-focused mindset through the use of Design Thinking as a problem-solving protocol.   Another signature offering of the school is the I Can! Programme which is specially designed for its Primary 1 and 2 students to develop their skills and competence in self-management, confidence in social interaction and use of information and communication technology (ICT). Some of the skills covered include packing of school bags, communication skills and touch-typing. All lower primary students are hence equipped from the start to adopt a can-do attitude with a capacity for independent learning.   As part of the Total Curriculum to support the holistic development of students, the Co-Curricular Activities (CCA) are designed to develop students' Attitudes, Skills and Knowledge (ASK) in the cognitive, physical and aesthetics domains. For P3 students who are embarking on CCA for the first time, an experiential approach is adopted to enable students to experience and discover their interests and talents in the different CCA domains for the first semester. This also allows students to make a more informed choice for formal CCA in Semester 2. CCA is conducted within curriculum time so as to enable all students to be involved in it."
PALM VIEW PRIMARY SCHOOL,http://www.palmviewpri.moe.edu.sg,150 COMPASSVALE BOW,544822,65087300,na,68754150,na,palmview_ps@moe.edu.sg,Buangkok,"27,43,109,156,159,161,163,163M,550",MRS MING KUM,MS SAADIAH SAADON WYLDE,MR LOH BIN,na,na,na,na,"Curious Minds, Caring Hearts, Creative Spirits",To develop the whole child to be a force for good in the world,"Palm View Primary School believes in the potential of every child. Each is unique, and possesses the capacity to learn, advance and succeed. We believe our children can be inspired towards excellence. As educators, we are guardians of our children's future. To safeguard what is entrusted to us, it is critical that we channel our educational efforts towards developing the whole child to be 21st century learners so that they can be a force for good in the world. This is our mission and calling.  We are guardians of children's curiosity for learning. Children are naturally curious. They question, explore and wonder and so they grow and learn. At PLVPS, we want our children to stay curious and develop an inquisitive spirit that thrives on exploration and discovery. This will better prepare them for an unpredictable world.  We are guardians of children's tender hearts for caring. Growing up in small nucleus families today, we need to nurture children's gentle hearts towards love and care for others. At Palm View, we cultivate, in our children, the virtue of looking out for the needs of others and to care deeply for those who are less fortunate than themselves.   We are guardians of our children's creative spirits. Children possess fertile imagination and view the world through their idiosyncratic lenses. Because creativity requires experimentation and enterprise, our teachers understand the need to promote diversity and multiple perspectives even as they provide a large emotional safety net for our children to manage failures, disappointments and discouragements. When we inspire children to dream big dreams and empower them to believe in themselves and their abilities, they will develop confidence and achieve great things in life.    Curious Minds, Caring Hearts, Creative Spirits... this is our vision for our children.",SENG KANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,"ACT-cellence Education through Drama Our P1 and P2 students undergo a Speech and Drama programme to enhance and enrich their learning in English and Mother Tongue. Our students are given the opportunity to showcase their talents to their parents at the end of the programme through the Little Theatre performances. Beyond formal curriculum, drama is used in teaching values and Social and Emotional Learning (SEL) competencies through the school's Programme for Active Learning (PAL-Drama). We have been accorded the Applied Learning Programme (ALP) status for our ACT-cellence Education through Drama.   Palm View Challenge Palm View Challenge is a 6-year school-wide programme designed along different learning experiences aimed at developing children's life skills and values. Students at every level are challenged to complete different tasks, each carefully designed to develop in them desirable character traits for the 21st century.  The tasks range from tree-top adventure, school-based camps, and community projects. These activities are intentionally designed with certain elements of challenge to the children, so that in undergoing these experiences, they will develop character traits of confidence, empathy, resilience, courage, as well as, teamwork and communication.   One of the signature programmes in the Palm View Challenge is the Artizenry Project, which helps the child understand the context of society and culture. Through our collaboration with the Yellow Ribbon Project, students undergo meaning-making of issues using drama strategies, and then, as advocates, make artworks to raise awareness and funds for the cause. We aim to impress upon our children how they can contribute to the betterment of society and in so doing be a force for good in the world."
RIVERSIDE PRIMARY SCHOOL,http://www.riversidepri.moe.edu.sg,110 WOODLANDS CRESCENT,737803,63654490,na,63654460,na,riverside_ps@moe.edu.sg,Admiralty MRT Station,Bus No 913 and Bus No 964,MDM BOEY HUEY PENG SHARON,MDM KHOO PHAIK HOON REGINA,MRS RANUKA PALANIVELU,MDM NEO BEE BEE,na,na,na,"The Best from Each, A Better Future for All - Riverside Primary School aspires to nurture Riverians as Joyful and Productive Learners and Connected Citizens of Good Character and bring out the best from each Riverian to lead, serve and contribute as a member of the community and the world. To achieve our vision, the school adopts a student-centric approach to know every child and grow every child in best ways possible and leverages people and partnerships to add value to the education process.","Inspire Learning, Nurture Character, Build Community - Riverside Primary School sees its purpose in inspiring engaged and deep learning, nurturing pupils in values, character and citizenship, and building a sense of identity and affiliation to the community and nation. The core business of education is conducted through a positive school tone of care, respect and discipline; a safe and health-promoting school environment; and a vibrant and stimulating learning space.","Riverside Primary School holds strong beliefs that every child is unique and every child can learn. The work of the school and teachers is to provide a caring environment so that every child feels safe, healthy and valued. It is also to ensure the best possible conditions for every child to be engaged, supported and challenged, thus learning and growing to the best of his/her potential.   The school educates not just for results; it educates for outcomes. The outcomes are to be seen in Riverians as Joyful and Productive Learners and Connected Citizens of Good Character who will SPARKLE with Strength of character, Perseverance, Adaptability, Responsibility, Kindness, Leadership, Enthusiasm and Sincerity.  The school recognises that people and partnerships are key to school and pupil success. The Confident, Competent, Caring and Committed Team Riverside works alongside our collaborative and supportive parents as well as partners with whom we have grown purposeful and sustainable partnerships in education.  The school motto ""Learning Together, Growing Together, Sparkling Together"" signifies that the school is a common social space for pupils to come together harmoniously to learn, grow and sparkle together.   The school fosters a culture that is rich with inclusiveness and affiliation (For Riverside and Riverians) and propelled by learning and excellence (From Good to Great).",WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school's Applied Learning Programme, PlayWorks nurtures Riverians as critical and inventive thinkers and collaborative problem-solvers through play-and-design experiences using different tools and media. Pupils work in groups and apply the protocol ""Understand, Plan, Design, Build, Improvise"" to solve problems. Throughout the problem-solving process, pupils demonstrate the SPARKLE Values and practise communication, collaboration and reflection. At every grade level, there is a signature PlayWorks module, namely P1 LegoWorks, P2 LegoWorks, P3 PaperWorks and P4 ParkWorks. The PlayWorks protocol is also pervasively applied in English Language for writing, Science for inquiry and Art for artmaking.    Values in Action (VIA) grows our Riverians as socially concerned and responsible citizens who have Awareness of community and environment concerns, own a sense of Affiliation with the community and natural environment, and are called to Action to lead, serve and shape a cohesive community, healthy environment and sustainable future for all. The key VIA programmes are ""Gardening for a  Sustainable Future"", ""Project EARTH (Every Act of Recycling/Reusing/Reducing Truly Helps)"" and ""Keep Singapore Clean Movement in Schools"".  The House System aims to nurture respect for diversity and sense of affiliation. Every Riverian belongs to a House and participates in inter-House events across classes and levels in a common space that embraces differences and fosters camaraderie. The signature House events are HouseWarming, House Practice and Riverside Sports and Games Day.   RECCE (Riverian Exploration and Charting of Career and Education) guides Riverians to know themselves, formulate their aspirations, plan their pathways and take action to achieve their goals. Every Riverian will visit KidZania Singapore twice, namely the Discovery Experience at P2 and the Future Charting Experience at P5. Every Riverian will develop an Individual Career and Education Plan by end-P6."
WEST SPRING PRIMARY SCHOOL,http://www.westspringpri.moe.edu.sg,60 BUKIT PANJANG RING ROAD,679946,63144192,na,na,63140648,westspring_ps@moe.edu.sg,Jelapang LRT,"920, 922",MDM PHAN SWEE LIN SHERIN JACINTA,MDM NUR SABARIAH BTE MOHD IBRAHIM,MDM PECK SEOK HOON,MISS LINDA CHUA,na,na,na,"Learners driven by Passion ,  Leaders guided by Values","At West Spring Primary School, we provide opportunities for West Springers to realise and reach their potential whilst developing good character and citizenship.","West Spring Primary was established in 2014. We are guided by our philosophy that a positive learning environment that provides opportunities for students to experience big and small successes can be attained through meaningful learning and character development opportunities. This belief is captured through the school song that encourages students to be ""thankful for this day [where they] will have joy in [their] hearts and love in [their] souls as [they] work towards [their] goals"". We believe students enjoy coming to school when they are able to experience small and big successes.   Through this belief, the school's approach to teaching and learning includes taking a refreshing approach to make learning a joy, engaging and effective in mastering the skills and developing the disposition and attitude that will keep them open to lifelong learning.    The students' joy in coming to school is due to the hard work of the school community of committed teachers, staff and very supportive parents and partners who believe in the school's vision. The school community aspires for excellence in our pursuits.",BUKIT PANJANG,WEST,WEST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school believes in nurturing both the academic potential of our students and their character development.  The school adopts the PLAY (Purposeful Learning Activities for the Young) approach to Teaching and Learning. This approach engages students through Cognitive PLAY, Physical PLAY, Object PLAY, Dramatic PLAY and ICT PLAY. This approach helps a child move from kindergarten to lower primary and continue to flourish.  Building upon the PLAY approach in lower primary, the school provides an integrated platform for students to develop critical and inventive thinking skills through the STEM (Science, Technology, Engineering and Mathematics) approach to teaching and learning. The early introduction of scientific and engineering thinking through the use of LEGO and Scientists@PLAY in Primary 1 and 2 provides the foundation on which the STEM approach builds upon. All Primary 3 and 4 students experience coding for fun as part of their modular CCA among other programmes that allow them a hands-on approach to problem solving and inventive thinking.  CHARM - Character Matters - is the school's signature character development programme for all students. These values-based lessons include engaging activities for students to visualise and experience how to demonstrate good values and behaviour. Other Character and Citizenship Education programmes include the following: -Six Kinds of Best hands-on programme based on David Koutsoukis' vision of helping young people develop good values and contribute to society -ACTIVATE (Action to Inculcate the Values of Teamwork) to help students develop good habits for life. This is nurtured when students clean up after themselves at recess and at the end of the school day and also at home with their family. -Friend of Singa Ambassadors to promote kindness among schoolmates -Cultivating Leaders of Values (CLOVE) programme to develop our students holistically using the Jim Kouzes and Barry Posner's The Five Practices of Exemplary Leadership"
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A PRINCE CHARLES CRESCENT,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",MRS LIM BEE LAY,MISS CHAN YAN HOON,MDM NORAINI BTE MANSOOR,MS TAN BEE YIN,na,na,na,"Reflective Learner, Empathic Designer and Inspiring Leader.","We create a caring, safe and stimulating school environment where each child can grow and glow.  We seek to build in our students a strong foundation in literacy and numeracy, as well as equip them with the attitude, values and 21st century skills to be future-ready and to engage the world while remaining rooted to Singapore.","Every child matters, is unique, and has the potential to make a difference.   Every staff member is an asset, has different strengths, and wants to contribute. Every parent and community partner is a valuable contributor in nurturing the child to G.L.O.W.  We believe that all children can learn and be successful, and that they learn best when they are connected, cared for, and cherished.  By providing them with a strong foundation in literacy and numeracy, and inculcating in each child the right attitudes, values, as well as equipping them with the 21st century competencies,  they can become creative problem-solvers, articulate communicators, effective team players, life-long learners, and responsible citizens committed to the well-being of Singapore and fellow Singaporeans.  This is realised through the collaborative efforts of the school, parents, and community partners.  Our HER3OIC Values Harmony, Empathy, Resilience, Respect, Responsibility, Optimism, Integrity & Creativity",BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Lifeskills@ALPS Students are taught the ALPS HER3OIC values, and Character Champions are identified and recognised with inputs from peers and teachers. The school adopts evidence-based principles such as breathing exercises and focused attention to help students regulate their emotions and raise their self-awareness as well as awareness of the people and things around them.  Student Leadership Development All students are given opportunity to lead in pledge-taking at morning assemblies. The Class Committee allows all students to be responsible for an area in class.  ALPS Ambassadors are trained to play host to visitors at school events.  ALPS Environmental Programme This aims to develop responsible citizens with an ecological conscience.  It inculcates in students awareness of environmental issues and the part they can play, including a commitment to ""always leave a place cleaner than before"" through actions like daily cleaning of canteen and classrooms.  Students also assume responsibility to educate their families about environmental conservation.  ALPS Toymaker This teaches children to find joy in a toy they make themselves using simple or recycled materials.  It also raises awareness of the scientific principles behind how toys work.  The ALPS Toymaker Card guides students in designing, making and explaining  how their toy works.  Shortlisted projects are submitted for the Sony Creative Science Award.  Design Thinking as a Way of Life The focus is on laying the attitude and values foundation for DT, in particular, empathy, collaboration, optimism, respect and resilience.  This is carried out through the Lifeskills@ALPS and complemented by the Little Designers Programme and the Design for Change Challenge where students work in teams to identify the needs within the school and community and create solutions for them."
