buildingId,location,buildingType,maxOccupancy,units
26,"POLYGON ((-3773.359184085952 5942.508267069492, -3797.416859000844 5834.0754329240135, -3836.46727612492 5842.739434449617, -3808.4644151572256 5969.697960903572, -3842.276270675865 5960.958147403372, -3852.2866108245307 5999.685309578104, -3755.870204306553 6024.6073790238925, -3773.359184085952 5942.508267069492))",Commercial,,[1761]
27,"POLYGON ((-3533.6716548409186 4790.401952291158, -3625.6469414412622 4791.351897005841, -3625.233833056548 4831.349763717236, -3433.395815037761 4827.885453949497, -3434.4043992802813 4787.898171498376, -3533.6716548409186 4790.401952291158))",Commercial,74,[1346]
28,"POLYGON ((-4190.49823325222 5122.424191508142, -4117.92938121883 5119.868723236316, -4110.735574901384 5036.127629081461, -4185.59555033218 5040.003293308831, -4190.49823325222 5122.424191508142))",Commercial,,[1775]
29,"POLYGON ((1825.1220863755282 4272.528927623855, 1785.2258708515064 4275.408508645603, 1794.6382603402017 4405.815924447047, 1834.5344758642234 4402.936343425299, 1825.1220863755282 4272.528927623855))",Commercial,64,[443]
30,"POLYGON ((-1341.979848423968 3770.1016032255343, -1302.0305118204371 3772.1141898541796, -1297.1054643629886 3674.353240901433, -1337.0548009665195 3672.3406542727876, -1341.979848423968 3770.1016032255343))",Residental,12,"[463,513,728,743]"
31,"POLYGON ((-1356.4643998573433 699.1341401514112, -1396.167370247495 694.2685320497712, -1407.744244892328 788.7348971233124, -1368.0412745021763 793.6005052249524, -1356.4643998573433 699.1341401514112))",Residental,7,"[267,329]"
32,"POLYGON ((-2180.1312851978814 3527.6287865818417, -2220.131065617258 3527.4962482793035, -2220.42866077851 3617.3098408483593, -2180.4288803591335 3617.4423791508975, -2180.1312851978814 3527.6287865818417))",Commercial,,[831]
33,"POLYGON ((1279.0660215958792 4421.407320026363, 1260.7518820297432 4426.380052744348, 1251.2023412531819 4517.642279976637, 1328.6793560550188 4514.018671861125, 1338.6124788076404 4405.239013841531, 1279.0660215958792 4421.407320026363))",Residental,6,"[20,209,362]"
34,"POLYGON ((1108.7555681923604 4341.91538469148, 1110.6402616539676 4374.361787546604, 1071.3328866245515 4372.980239025827, 1069.9278617680204 4412.955555224108, 1153.119298769283 4415.87951050335, 1146.7326469467966 4305.928538555315, 1046.4879427462645 4294.671765775404, 1042.0242796305306 4334.42193195857, 1108.7555681923604 4341.91538469148))",Commercial,,[435]
35,"POLYGON ((1138.280988438417 1204.640935186893, 1133.2931681964317 1164.9531329142346, 872.9298529571151 1187.849865185848, 866.9803727451446 1073.9197593593133, 901.0513392888417 1076.3962546604369, 903.9511443890917 1036.5015039984692, 825.3177478084418 1030.7859268693726, 835.3056206255806 1225.9886383157889, 908.0402085572598 1229.6866111825266, 1138.280988438417 1204.640935186893))",Residental,,
36,"POLYGON ((-1739.3729200449502 1972.485999912161, -1741.587942064008 2012.424623792499, -1600.262839251748 2020.2626057798777, -1648.6370801158514 1916.9987336208997, -1684.8595749114345 1933.9672595080817, -1664.8799886675492 1976.6174262667469, -1739.3729200449502 1972.485999912161))",Residental,,
37,"POLYGON ((-3724.150343214039 5331.069229676406, -3764.1097588309085 5329.2678125791535, -3768.9293129739663 5436.176183430158, -3670.942107085722 5433.048999871731, -3672.218025590311 5393.069354651074, -3727.0242325227514 5394.818451052642, -3724.150343214039 5331.069229676406))",Commercial,,[1747]
38,"POLYGON ((-3835.2380701260104 7427.953541122254, -3832.1472703515415 7467.833949304144, -3739.3289415129757 7460.640370228113, -3742.4197412874446 7420.759962046223, -3835.2380701260104 7427.953541122254))",Residental,10,"[1402,1567,1596,1606]"
39,"POLYGON ((-921.590826947466 1520.3810081033446, -881.5908613219462 1520.3285680686442, -881.6982104410969 1438.4453065398168, -921.6981760666166 1438.4977465745171, -921.590826947466 1520.3810081033446))",Commercial,,
40,"POLYGON ((-1601.4186989780428 5851.893143127234, -1600.683571227382 5884.817085983731, -1500.4658070996759 5882.579417796765, -1499.9256446878337 5807.810403550021, -1598.01516688899 5811.836435980295, -1596.6655850501975 5844.717402547547, -1598.2812667657813 5811.843811748081, -1681.4638752306346 5813.041761607403, -1682.9013195989319 5900.0447013719895, -1642.906777872914 5900.705482822849, -1642.109992600869 5852.479156602535, -1601.4186989780428 5851.893143127234))",Commercial,,
41,"POLYGON ((-958.1438810132106 5155.471524196036, -959.5873606843058 5195.563678410787, -871.289445318979 5191.961660955395, -873.0876029150659 4996.930656078089, -951.4557580982631 5000.898928922615, -958.1438810132106 5155.471524196036), (-912.0327590161523 5098.115908379364, -911.5942484062342 5153.572582544936, -918.0590892161758 5153.8363086968775, -912.6504646294372 5038.98522057756, -912.0327590161523 5098.115908379364))",Commercial,,
42,"POLYGON ((112.12279777641524 148.5354894182695, 110.56730477010146 79.29922611887176, 70.57739577722681 80.19765738591678, 79.23637251824279 252.8088259748911, 119.14111771553041 250.0499655689351, 112.12279777641524 148.5354894182695))",Residental,,
43,"POLYGON ((-572.9924175614887 1845.8216723839944, -571.4481825180005 1885.7918529956762, -454.64487826552727 1881.279194987592, -456.1891133090154 1841.3090143759102, -572.9924175614887 1845.8216723839944))",Residental,6,"[36,320]"
44,"POLYGON ((-3528.9969088851144 6414.077525151866, -3753.577181099355 6409.107920946533, -3755.3908092641104 6476.710720062639, -3637.8361088549104 6478.981123603255, -3637.288825331376 6450.644420679281, -3568.5143205336617 6452.8376457621125, -3567.9153216936834 6500.636445666913, -3527.918462179413 6500.1352181779475, -3528.9969088851144 6414.077525151866))",Commercial,,
45,"POLYGON ((-787.7918033057559 3867.873942902409, -708.9780233449334 3868.474957394756, -703.2152001476522 3782.846532443444, -743.1249199648453 3780.160594225028, -746.3572317677003 3828.188749723639, -783.8284349153752 3827.903003548939, -783.8675939313262 3797.263737262966, -866.106782388722 3797.368844404323, -859.3679238727509 3865.9079146042745, -787.7918033057559 3867.873942902409))",Commercial,,
46,"POLYGON ((1090.7972649865762 3571.49110775791, 1130.7972078323426 3571.4234887115417, 1130.654759099015 3487.1581596722285, 1090.6548162532488 3487.2257787185968, 1090.7972649865762 3571.49110775791))",Residental,,
47,"POLYGON ((-3350.7771844619674 6135.000953767018, -3347.8497085942645 6077.866441827748, -3424.0810537002803 6078.267339598734, -3420.294204948464 6132.309650959596, -3350.7771844619674 6135.000953767018))",Commercial,,[1326]
48,"POLYGON ((-1801.292363656836 3503.417377308381, -1799.3402984836573 3463.4650376827763, -1886.5786616188757 3459.20258466908, -1888.5307267920543 3499.154924294685, -1801.292363656836 3503.417377308381))",Residental,17,"[607,646,668,716,758,816]"
49,"POLYGON ((-604.9594872679347 5948.733606322834, -604.5299495886936 5965.617936533171, -557.062032144086 5959.8921344697155, -553.8630051071389 5908.425108068833, -605.9769505720581 5908.739009261934, -604.9594872679347 5948.733606322834))",Commercial,,"[1294,1308]"
50,"POLYGON ((-447.3611540682579 5919.517700069766, -447.5578507447382 5906.873858606419, -533.8113902934418 5908.215680600397, -536.9615560939025 5958.8966109417, -443.736917153567 5959.543825389157, -447.3611540682579 5919.517700069766))",Residental,11,"[1073,1180,1208,1238]"
51,"POLYGON ((-972.9128107124789 5472.8549142124475, -969.8907871599916 5432.969235408544, -1056.0500533403988 5426.4411947816725, -1278.2805082796856 5443.9444130108795, -1274.16491753931 5483.732123586605, -1056.638473504433 5466.511260738506, -972.9128107124789 5472.8549142124475))",Commercial,,
52,"POLYGON ((-1285.5800441551078 3851.630569597142, -1208.5098355749003 3848.6116081212863, -1206.098187412559 3782.074128161016, -1282.4793056374688 3782.557066473401, -1285.5800441551078 3851.630569597142))",Residental,7,"[634,658,707,759]"
53,"POLYGON ((-1840.869959771632 5003.052584314171, -1744.1245650111541 4998.911780034273, -1746.4003312255363 4905.558837339247, -1786.388450697547 4906.533671218543, -1785.0697428292315 4960.627654723678, -1796.8220042452983 4961.130663828045, -1792.44589993585 4913.814893208934, -1832.2759119704622 4910.131125935794, -1840.869959771632 5003.052584314171))",Commercial,,
54,"POLYGON ((-3474.199553127304 6319.428999889509, -3514.125563124371 6321.860815202013, -3509.6351504096137 6395.585271997077, -3337.384015370955 6409.644862242657, -3339.19820712086 6342.751048225226, -3420.906653186218 6336.383313428678, -3423.2897446575057 6366.962272379053, -3471.7055281561593 6360.376379988166, -3474.199553127304 6319.428999889509))",Commercial,,
55,"POLYGON ((-1949.9903979692112 1788.6147151240664, -1989.917182760626 1791.0337761443927, -1984.1417150912298 1886.358306103805, -1944.214930299815 1883.9392450834787, -1949.9903979692112 1788.6147151240664))",Residental,,
56,"POLYGON ((-2968.303837620577 6351.3743807405845, -2967.4054637951513 6251.5217386551885, -3007.401635870818 6250.968367808784, -3008.7592393592336 6349.092334920591, -3000.175886158635 6431.3377787084955, -2935.628303352611 6442.875233919271, -2942.7954921977002 6349.418155153545, -2968.303837620577 6351.3743807405845))",Residental,6,"[1027,1093,1144]"
57,"POLYGON ((-4377.992341767138 6584.118984560896, -4375.1312217414325 6624.016528247174, -4142.010707183369 6601.834506229793, -4143.205496242209 6419.67599216122, -4183.16753617468 6421.418221892213, -4181.062780064524 6566.381546255132, -4377.992341767138 6584.118984560896))",Residental,6,"[1500,1549]"
58,"POLYGON ((454.75550942000933 1610.8048395624935, 452.2999875242948 1651.4440757122852, 616.0687187760104 1624.6739732246324, 624.6805914572208 1556.3333954956174, 553.2766893179406 1559.1248651916144, 553.4048802247298 1596.7575367386266, 552.9949817644044 1559.1319048205444, 457.8150621643321 1560.16880707332, 454.75550942000933 1610.8048395624935), (535.0667075548737 1600.5401435546714, 495.1403396073113 1605.6431931815735, 495.49577529160246 1599.7606821214283, 541.2627386092721 1599.2620909525538, 535.0667075548737 1600.5401435546714))",Commercial,119,[447]
59,"POLYGON ((-1656.1479781302232 3356.582716901467, -1696.1114088398513 3358.2927478710117, -1692.3680816671222 3445.7743191144964, -1609.930223058333 3454.7040444087033, -1610.631241876015 3358.60397833294, -1650.6301776726125 3358.8957575983004, -1650.2566456471848 3410.1018756361896, -1656.1479781302232 3356.582716901467))",Residental,16,"[508,691,725,765,824]"
60,"POLYGON ((-2217.9161069230463 3704.2905480259683, -2177.933137085549 3703.12344778443, -2180.424677713663 3617.7672887869167, -2220.4076475511606 3618.934389028455, -2217.9161069230463 3704.2905480259683))",Residental,8,"[546,639,683,689]"
61,"POLYGON ((491.29997407160954 2186.4475261948237, 452.4984052356631 2196.1654609481193, 482.46227839166727 2315.804593785473, 521.2638472276137 2306.0866590321775, 491.29997407160954 2186.4475261948237))",Residental,14,"[7,63,104,119,219]"
62,"POLYGON ((-24.507371074148644 3443.992983181162, -24.84692309763094 3539.1687716261686, 15.152822345084708 3539.3114759286573, 15.356642485590546 3482.1810769557096, 55.90978597471938 3480.293807248144, 54.0502711433583 3440.3370530682564, -24.507371074148644 3443.992983181162))",Residental,14,"[942,995,1057,1091,1231]"
63,"POLYGON ((-379.6172686028622 3815.796873487865, -375.5525171249072 3770.4182427729575, -415.39300586355995 3766.849565557898, -424.02548257779944 3863.2219944985204, -235.08398506549642 3833.393607874446, -226.8944221846965 3654.9903815710304, -317.46356743299225 3655.3206828780662, -317.3176903312018 3695.3204168755715, -268.5043831448603 3695.1423970972, -273.3233279876651 3798.9844370714522, -379.6172686028622 3815.796873487865))",Commercial,,
64,"POLYGON ((-492.806378152962 5887.5753572202975, -447.8689474631575 5886.876278281996, -448.2920323998561 5859.679993317392, -300.0541517926982 5861.496974375407, -299.5635310944052 5821.499983346951, -530.5580369348011 5823.162161708434, -532.8532669010959 5888.19835537659, -492.806378152962 5887.5753572202975))",Commercial,,[1305]
65,"POLYGON ((-1035.2584636033555 1614.9711466624963, -1033.5251863879662 1654.9335758941459, -846.0658985016163 1649.9063437242937, -657.8979601969148 1664.9486813758206, -654.3480265871476 1625.1065181392914, -844.8167286499022 1609.893875034805, -1035.2584636033555 1614.9711466624963))",Residental,5,"[230,252]"
66,"POLYGON ((-699.6291878215003 4452.756548128137, -698.2102736939995 4492.731373739999, -598.2834310297368 4489.184451230579, -599.7023451572376 4449.209625618717, -699.6291878215003 4452.756548128137))",Commercial,,
67,"POLYGON ((288.03834543522123 4088.7941876015916, 287.38476400830837 4048.799527566552, 242.87310087892578 4049.5269245809754, 244.08817169122705 4020.8303383589123, 204.1239804455888 4019.138174631003, 201.11445944722578 4090.214673171092, 288.03834543522123 4088.7941876015916))",Commercial,,
68,"POLYGON ((-658.1796339868832 5233.887479259013, -667.4265862211859 5194.970980516494, -759.8397003286518 5216.929267607754, -750.5927480943492 5255.845766350273, -658.1796339868832 5233.887479259013))",Commercial,,
69,"POLYGON ((-144.80073437867546 1243.5532321531605, -144.51112208759884 1203.5542806078904, -286.30288548543103 1202.5276377618407, -286.5924977765077 1242.5265893071107, -144.80073437867546 1243.5532321531605))",Residental,,
70,"POLYGON ((-961.7403241236616 4621.66249938983, -1030.0609205561868 4612.435715401935, -1027.9196161897942 4695.959117205774, -987.9327550118791 4694.933966905507, -988.8703681300162 4658.3615681228675, -934.9943272541412 4665.8256666556135, -930.611272304842 4708.909846817937, -941.6442224553844 4708.868359776867, -941.9796169046067 4798.062241614615, -879.8292766944031 4798.147996887841, -889.2055853199155 4720.679983120632, -901.6940385378073 4722.191517829371, -889.2266879832393 4720.4905061227055, -898.3724624008917 4630.590151851057, -961.7403241236616 4621.66249938983))",Commercial,,
71,"POLYGON ((-1141.936278323432 4403.350488793974, -1141.6086230674566 4416.797597436732, -1079.2436632588272 4425.333850088393, -1084.1956565914807 4361.882000936544, -1142.9106384137933 4363.362343469521, -1141.936278323432 4403.350488793974))",Residental,5,"[601,635,734]"
72,"POLYGON ((-1069.817700266945 5097.54710170785, -1065.121023164056 5013.916003369212, -1139.1779623920438 5020.149702823873, -1143.156636680889 5101.953204370155, -1069.817700266945 5097.54710170785))",Commercial,,
73,"POLYGON ((971.3427864116846 475.4588247321433, 968.7408076889575 458.0844892168723, 928.9146903844489 461.810127477295, 938.250610592338 561.6087196526773, 1027.7201076680835 581.5616073940923, 1010.8594040602752 469.51252034618176, 971.3427864116846 475.4588247321433))",Residental,3,[205]
74,"POLYGON ((-3327.346299156377 6067.105175460171, -3287.446042927736 6064.28213580604, -3293.945664069988 5972.4178403168125, -3333.8459202986296 5975.240879970944, -3327.346299156377 6067.105175460171))",Commercial,,
75,"POLYGON ((-2681.4271394340803 6204.542856577501, -2679.1537964322315 6244.478203221746, -2568.8209621149927 6238.197441995266, -2571.0943051168415 6198.26209535102, -2681.4271394340803 6204.542856577501))",Residental,9,"[945,1155,1229]"
76,"POLYGON ((-3470.6035632266303 5588.404855471383, -3582.524354176919 5573.103349258595, -3587.9426415831676 5612.734677290637, -3376.8224082200277 5634.61201701091, -3387.914810783462 5538.005166131344, -3408.494272855504 5455.9660243495555, -3499.92032726447 5455.5747379977465, -3500.0915181884716 5495.574371666913, -3439.733055098262 5495.832694559397, -3427.353373320167 5545.183764332321, -3422.0266203631836 5591.575952647228, -3470.6035632266303 5588.404855471383))",Commercial,,[1302]
77,"POLYGON ((-738.194169224926 6315.6801945550915, -732.5209889321609 6355.275838575182, -650.1153598999456 6343.468933997465, -655.7885401927107 6303.873289977374, -738.194169224926 6315.6801945550915))",Residental,18,"[962,1055,1105,1132,1200,1264]"
78,"POLYGON ((-703.3076860342077 4492.652244959814, -700.6486702895419 4452.7407223721, -784.1071366066755 4447.18048909673, -779.2076999839522 4522.644474798948, -739.2917373611269 4520.052964063254, -741.2347570901803 4490.125438850996, -703.3076860342077 4492.652244959814))",Residental,7,"[493,505,549,588]"
79,"POLYGON ((-4098.002772518981 5121.580525129962, -4064.862703000179 5124.427433734047, -4058.3383285166556 5162.4003483208135, -4273.30734767623 5165.60214773133, -4273.05044996957 5205.601322767427, -4011.1163982757275 5201.0218129262485, -4025.9086807361587 5114.928336864777, -4057.754026780434 5120.399893773465, -4056.8034862154177 5109.3349160078005, -4026.0076094246524 5112.282274904387, -4018.0012371320217 5028.626614594275, -4090.5476489612447 5034.797509819907, -4098.002772518981 5121.580525129962))",Residental,9,"[1379,1483,1661,1728]"
80,"POLYGON ((-1878.0603842877676 4021.129763749326, -1918.0255126457503 4019.459878923962, -1922.9916630567498 4213.036110649979, -1733.4060163324987 4211.533070303781, -1734.9804202534835 4130.802213695562, -1823.1671735750972 4122.609228658741, -1826.867436399767 4162.437711620415, -1774.183225230159 4172.070057845668, -1882.545996404034 4172.90033717508, -1878.0603842877676 4021.129763749326))",Commercial,,
81,"POLYGON ((-1812.0478782786665 2742.140331433825, -1769.1213034870175 2854.716313241449, -1731.7735479538092 2840.393423985725, -1773.00570298942 2732.8782139688687, -1778.3704488557846 2698.2558864101607, -1732.4439504065506 2703.1863117588964, -1728.5568642509377 2773.1943672033003, -1688.6183790439748 2770.976846206057, -1694.3892060082046 2667.0418270430537, -1825.8715915618138 2652.926575313982, -1812.0478782786665 2742.140331433825))",Residental,6,"[647,766]"
82,"POLYGON ((1350.3889538480646 3891.571453719168, 1251.53968137686 3886.3039828913725, 1249.4111849991139 3926.2473115354646, 1308.5228062353738 3929.3972461041426, 1305.7465606170422 3979.5138981375503, 1305.4145282560178 3966.165213748889, 1265.426896624773 3967.159857667025, 1267.553462761767 4052.6541152350565, 1340.9829970387786 4053.1321675203003, 1350.3889538480646 3891.571453719168))",Commercial,,
83,"POLYGON ((1426.7663178166454 3371.343991597944, 1387.1812904473145 3365.597200478603, 1374.2154715356617 3454.9083109444396, 1444.301002653223 3445.5773701950266, 1439.0221229641513 3405.927232373976, 1421.4051612095896 3408.272692609424, 1426.7663178166454 3371.343991597944))",Residental,6,"[169,375]"
84,"POLYGON ((-4501.954549429692 7395.806914639886, -4541.872300277232 7391.984571069851, -4543.691399972047 7465.59321332937, -4489.375337945689 7459.8336989850995, -4490.4549330838245 7396.908065973922, -4501.954549429692 7395.806914639886))",Residental,2,[1505]
85,"POLYGON ((-3226.5349891129754 6352.822891095241, -3186.5684794121953 6351.186400234448, -3190.504773339214 6255.0539175006, -3248.089794011057 6251.008576902322, -3241.372735629184 6344.477328571262, -3226.9192418765906 6343.43863960169, -3226.5349891129754 6352.822891095241))",Commercial,,
86,"POLYGON ((-804.1887597692872 4446.571840425993, -864.8860302368669 4447.392978438179, -874.0317712251742 4517.755279647346, -799.8214574008615 4513.839583406811, -804.1887597692872 4446.571840425993))",Commercial,85,"[844,899]"
87,"POLYGON ((4.463959006454289 3732.6037466604926, 13.060705944538434 3628.0110539338593, -26.80486228176565 3624.734398627927, -40.391201260091854 3847.30702054306, -37.31007424912212 3928.408600367561, 2.203582010283934 3935.680769777797, 4.463959006454289 3732.6037466604926))",Commercial,,
88,"POLYGON ((-3099.0948663218624 6258.500123168957, -3100.237190088247 6298.48380854703, -3068.0774947773994 6299.402602898424, -3068.761656747673 6348.852009329052, -3028.765484672006 6349.405380175456, -3027.5360420672678 6260.544540657432, -3099.0948663218624 6258.500123168957))",Commercial,,"[1309,1323]"
89,"POLYGON ((-3567.19724083328 6544.880813716669, -3585.9771938208164 6544.860833310764, -3588.0618234591702 6487.173599707102, -3628.0357317041044 6488.618127181946, -3624.559314797097 6584.81980758048, -3526.541759649669 6584.9240906177665, -3527.9179292567237 6500.1722663031305, -3567.912657080238 6500.821686292827, -3567.19724083328 6544.880813716669))",Residental,9,"[1372,1506,1571,1579,1642]"
90,"POLYGON ((249.3378446495777 898.4692867565064, 252.00735770248653 858.5584649150516, 171.00949017516768 853.1407647864772, 168.33997712225886 893.0515866279321, 249.3378446495777 898.4692867565064))",Residental,6,"[124,207]"
91,"POLYGON ((-2124.4542471964755 4884.639436498942, -2086.711650984888 4884.4900314720535, -2091.7197616098197 4995.349323040926, -2190.1789874958877 5008.536920892759, -2185.157499633767 4950.169995429015, -2225.0102824687947 4946.741336754812, -2234.1527853101297 5053.008601865154, -2053.852564979417 5029.687426898497, -2046.3969913755734 4844.3301314695545, -2224.693570240625 4852.10597594764, -2221.677118090947 4891.992076489416, -2124.4542471964755 4884.639436498942))",Commercial,,
92,"POLYGON ((-3257.4207052003494 7196.457211585807, -3328.449193154113 7195.924569103497, -3331.679764863755 7254.402138105555, -3250.9886066968184 7254.869538597909, -3250.8841385097644 7236.8343436358455, -3159.7341141651764 7241.3954217815135, -3157.735045671585 7201.445406447876, -3257.4207052003494 7196.457211585807))",Residental,10,"[1352,1444,1580,1615]"
