Origin,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
Bangladesh,0,0,277,0,0,0,0,52,0,1,43320,3010,0,0,100444,0,0,0,2943,0,0,72,56,29,0,0,55,2269,865,0,0,0,0,0,52698,0,0,0,0,8,6282,2,0,0,0,16,0,0,3,0,766,252,1304,0,0,4,7,515,6,0,0,62,0,0,2245,2143,5069,0,0,0,0,7601,0,16871,0,0,0,0,0,0,0,0,0,450,73,3,3139311,0,0,0,3475,0,0,111309,0,13243,11715,0,136,0,153,11615,0,381669,0,0,5,3747,0,0,1277,0,0,33,0,0,26,0,365600,47951,0,18,0,17,8364,73,0,0,0,0,0,0,0,1648,28,772,1419,0,1570,3,0,0,414,1052,276518,186114,0,43,0,0,3,162,107,1519,8,163386,131,471,0,0,0,0,1157072,0,0,222,0,83279,0,19,12,189,0,4182,0,13457,674,8,0,0,0,0,0,0,7363,2426,0,0,0,7751,138,0,0,0,0,489,0,0,0,209,185,1044505,247000,234640,1,0,0,5,8254,0,0,0,0,0
Barbados,0,0,0,0,0,0,308,23,0,11,450,21,0,248,0,0,0,0,17,0,0,302,0,0,0,0,33,0,5,0,0,0,0,0,17974,236,0,0,0,5,0,11,0,0,0,14,0,0,20,194,0,2,28,0,168,38,18,0,40,0,0,1,0,0,0,12,80,0,0,0,0,0,0,10,0,268,0,1,10,0,272,0,1,0,2,1,0,0,0,0,37,0,0,48,804,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,86,0,0,2,0,0,0,22,0,0,0,33,0,1,3,0,11,7,4,0,0,9,0,0,1,0,0,0,0,0,0,0,75,1,1,0,0,47,0,43,0,97,785,0,635,0,0,0,113,79,0,0,0,0,0,0,0,1073,0,4,0,0,0,0,1,0,20069,54374,1,0,0,10,0,434,0,0,0,0
Belarus,0,0,169,0,0,0,0,315,593,0,2080,1933,15582,0,0,0,0,0,508,0,0,16,0,5,6,0,10,0,1064,0,0,0,0,0,12131,0,0,0,0,8,787,13,0,0,0,25,0,91,35,0,399,9400,645,0,0,12,18,314,0,0,0,8187,0,0,0,351,3451,0,0,0,9306,29000,0,1430,0,0,0,0,0,0,0,0,0,0,216,45,0,0,0,0,1239,0,23524,30691,0,0,2,70858,11,0,0,0,0,0,11045,0,47198,0,0,0,778,0,59831,46,0,0,0,0,0,0,0,35,0,0,0,102,0,34291,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,1030,0,0,0,12,0,0,7,0,81363,977,0,0,1,764819,0,0,10,0,0,0,202,0,0,0,0,232,187,0,0,395,0,4575,0,0,0,0,0,0,0,0,2833,1476,0,698,0,0,0,0,0,0,0,354,10902,0,0,0,258781,0,6052,62514,1,70495,0,0,0,0,0,0,0,0
Belgium,0,0,150,0,200,0,0,1228,0,40,7960,2708,0,31,0,0,0,35,0,0,0,22,0,392,8,0,2075,0,1597,0,625,11,0,0,23794,18,0,0,0,1048,1578,464,0,0,0,406,0,365,14,92,308,1013,1143,0,0,677,1248,529,52,0,0,238,0,8,0,631,155548,0,477,0,22,23000,0,5031,0,0,0,0,131,0,0,0,25,0,2145,133,0,0,0,0,1761,0,7240,45447,0,808,72,0,339,0,0,0,0,0,0,0,108,0,0,0,690,42,159,21008,0,0,78,0,0,0,0,208,0,137,118,646,0,0,861,0,0,1437,0,0,169,0,55288,0,0,47,0,0,0,1733,0,0,0,279,0,121,715,549,5593,3534,0,0,1588,471,495,0,4,0,0,0,215,38,0,0,0,879,966,0,0,13128,0,41916,0,2,0,0,0,0,0,0,2490,16409,0,0,0,0,0,66,0,0,0,26531,0,0,0,63,153,0,33000,35406,155,0,3,401,148,0,0,0,0,0
Belize,0,0,0,0,0,0,14,10,0,0,80,10,0,45,0,0,22,0,12,0,0,58,0,942,0,0,6,0,2,0,0,0,0,0,2443,453,0,0,0,3,0,7,0,0,0,199,0,0,4,0,0,6,5,0,0,79,7,7,341,0,0,1,0,0,0,1,12,0,0,0,0,0,0,4,0,0,0,953,1,0,0,0,368,0,3,0,0,0,0,0,10,0,0,22,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2124,0,0,0,0,0,0,0,0,0,0,18,0,0,26,0,0,0,12,0,0,0,88,0,0,3,0,1,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,34,0,0,1,0,0,0,0,0,14,52,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1189,48918,2,0,0,20,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,2,0,0,110,121,0,0,0,0,0,0,1455,0,0,6,0,1,0,0,31,0,45,4311,0,0,0,3808,3730,0,337,0,0,2,157,0,0,0,15421,3,60797,0,6,0,11,95,58,0,0,25,3,35,0,0,0,0,0,0,0,18,20724,0,49730,0,0,2148,19502,18,0,0,0,0,1493,0,0,0,0,0,9,2,0,0,0,0,61,0,0,2619,0,0,2,0,1254,0,0,0,0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,4240,0,0,1188,0,0,0,0,0,0,0,0,0,0,144,0,288,0,0,0,20924,362544,0,29,0,0,0,0,0,0,0,0,4,33,0,0,0,94,0,0,0,166,0,3518,0,0,249,0,0,9,1,0,0,319,0,401,0,0,0,0,0,0,0,0,90,623,0,0,0,0,0,73275,0,0,0,5,0,0,0,0,19,0,555,694,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,14,0,0,1,580,15,0,40,0,0,28,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2650,45,0,0,0,6,0,8,0,0,0,11,0,0,2,0,0,6,0,0,1,16,11,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97,0,0,0,8,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3772,9026,1,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,1,0,0,6040,33,0,0,0,0,0,0,282,0,0,8,0,0,0,0,0,0,36,0,0,0,0,0,2569,0,0,0,0,5,539,3,0,0,0,4,0,0,0,0,0,3,813,0,0,12,0,1,0,0,0,1,0,0,0,3,87,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,6580,0,0,0,33,0,0,38,0,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28334,307,0,0,0,0,0,0,370,0,0,0,7,0,0,3,0,0,4,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,28,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,379,144,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,481781,0,9,1000,483,0,0,0,0,0,0,1174,0,0,3,0,0,0,0,47563,0,27,0,0,0,0,0,5353,0,0,0,0,39084,175,874,0,0,0,432,0,31,60,0,13,139,164,0,0,502,2227,1,53,0,0,3,0,3,0,147,3194,0,0,0,0,5380,0,22,0,0,0,141,4,0,0,0,148,0,52,17,0,0,0,0,102,0,0,15248,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1672,0,0,0,0,0,0,0,0,0,0,925,0,0,67,0,0,0,540,0,0,0,468,0,1304,6654,36,52,221,74,0,2,84,0,0,0,0,0,0,0,0,0,0,0,15,44,0,0,268,0,168994,0,2,0,0,0,0,0,0,4450,3844,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,3316,79461,377,0,0,1997,0,0,0,0,0,0
Bosnia and Herzegovina,0,29077,0,0,0,0,0,6,0,0,38160,162021,0,0,0,0,0,0,601,0,0,1,0,10,0,0,84,0,167,0,0,0,0,0,41722,0,0,0,0,14,0,6,0,0,0,1,0,394146,4,0,81,4685,17176,0,0,8,14,136,0,0,0,5,0,0,0,723,14442,0,0,0,0,172560,0,882,0,0,0,0,1,0,0,0,0,0,276,161,0,0,0,0,1139,0,0,12025,0,0,60,0,34,0,0,0,0,0,0,0,4,0,0,0,336,323,0,2569,0,8729,0,0,0,0,0,204,0,0,0,83,0,0,0,0,29462,0,0,0,0,0,6583,0,0,0,0,0,0,13487,0,0,0,1,0,0,11,0,3727,44,0,0,139,515,0,0,1,0,0,0,333687,0,0,0,0,419,118619,0,0,334,0,2121,0,0,0,0,0,0,0,0,57705,56430,0,0,0,0,0,0,0,0,0,3507,0,0,0,0,38,0,6943,101638,2,0,0,24,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,5,0,0,1270,16,0,14,0,0,0,0,42,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,444,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,11,155,19,0,0,0,7,10,0,0,0,0,0,0,0,15,44,0,0,0,0,0,0,7,0,0,0,0,48,0,0,0,0,0,6,0,0,0,0,0,251,0,0,43,0,0,0,0,891,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,610,0,241,0,0,5,0,0,0,119,0,0,0,0,0,0,1,0,0,18,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,69160,0,0,0,0,0,0,0,0,0,42,110,72,0,0,411,0,0,0,0,0,0,20,0,0,0,0,0,0,2880,708,1,0,0,0,0,0,0,0,962,4039
Brazil,0,0,0,0,0,0,0,51220,0,135,26750,5129,0,126,0,15274,0,93,13494,0,0,76,0,26738,5,0,0,0,171,0,0,293,0,0,26647,93,0,0,0,18986,115347,2496,0,0,0,1064,0,195,41,0,70,742,3049,0,0,1313,3868,123,243,0,0,97,0,66,0,1378,58276,0,0,0,0,44000,15,2175,0,0,0,249,157,0,2166,0,239,0,774,156,0,0,0,0,11068,0,9500,104779,0,206976,105,0,71,0,2807,0,0,0,0,0,30,0,0,0,260,176,81,316,0,0,0,0,50,0,0,120,0,347,0,5832,0,0,67,0,0,0,0,0,494,0,17493,0,3827,126,0,0,0,5316,0,0,0,2067,0,82116,5651,167,280,138664,126,0,38,433,0,0,28,0,0,631,98,1,0,0,0,131,401,0,0,4845,0,116068,0,97,12,0,0,0,7159,0,7341,37816,0,0,0,6986,205,0,0,0,0,509,0,0,0,0,129,0,55772,409595,12882,0,0,6119,724,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,7,0,0,3230,9,0,0,0,0,0,0,21,0,0,1,0,0,0,0,174,0,1,0,0,0,0,0,5106,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,68,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25134,0,0,0,26,0,0,30,0,0,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6204,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,31,0,0,0,4,0,0,9,84,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,22,0,0,0,0,0,0,0,0,11,63,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5222,1080,1,0,0,0,121,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,337,0,1,4020,23839,138,21,0,0,0,60,31689,0,0,11,0,24,55,0,291,0,0,0,0,0,0,0,20410,0,0,0,0,115,246,90,0,0,0,71,0,296,139,0,7247,9200,7944,0,0,494,284,65,3,0,0,353,0,31,0,2095,17893,0,0,0,229,263320,0,71571,18,0,0,0,2,0,0,0,0,0,1416,291,0,0,0,0,2122,0,12540,59144,0,0,49,4369,51,0,0,0,0,0,0,0,135,0,0,0,0,12,104,931,0,1073,0,0,0,0,0,1132,0,0,0,458,0,124,12,15,67,0,0,0,26,0,21926,0,0,64,0,0,0,6478,0,0,0,75,0,0,80,21,1854,5350,0,0,18271,5845,0,0,3,0,0,0,2002,3,0,0,0,2326,1730,0,0,6494,0,124709,0,0,0,0,0,0,0,0,8757,7137,0,0,0,0,0,0,0,0,0,570585,0,0,0,0,2062,0,71000,70800,28,622,0,144,185,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,16,0,0,60,145,0,0,0,0,0,0,1487,0,10267,2,0,0,0,0,30,0,19,0,0,0,0,0,1173,0,161,0,0,2,0,2,0,0,0,0,1307265,0,0,0,0,32,43,0,0,0,7,62,0,0,0,0,0,0,0,16,8873,0,6661,0,0,1838,92876,77,0,0,0,0,571,0,0,0,0,0,10,1,0,0,0,0,17,0,0,11914,0,0,2,0,875,0,0,0,0,0,0,0,0,0,0,232,0,0,0,3,0,0,0,0,0,0,25138,1,0,0,0,6,0,0,0,0,0,0,0,0,65,0,382,0,0,0,22577,7883,0,33,0,0,0,1,0,0,9,0,1,19,0,0,0,445,0,0,0,16,0,0,0,0,31,0,0,2,6,0,0,0,0,1315,0,0,0,0,0,0,0,0,79,658,0,0,0,0,0,13950,0,0,0,0,0,0,0,0,0,0,193,514,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,2,0,0,2390,82,0,0,0,0,0,0,7270,0,0,0,0,0,0,0,25,0,26,0,0,0,0,71,7237,0,52,0,0,2,258,1,0,41654,0,4,0,0,0,0,5,11,507,0,0,4,0,35,0,0,1052,0,42,0,0,57,1894,0,161,0,0,715,0,130,0,0,0,0,37,0,0,0,0,0,6,0,0,0,0,0,127,0,0,1046,0,0,0,0,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,2193,0,0,0,0,0,0,1060,0,0,0,1,0,0,3,0,8,4,0,0,0,131,64729,0,0,103,0,0,0,0,0,0,0,5,3,0,0,10822,0,108,0,0,0,0,0,4,0,227,2935,574,0,0,233606,0,0,13,0,0,0,4,0,0,0,64092,12,0,3951,456,3,0,0,0,0,0,0,0,3401,521
Cabo Verde,0,0,0,0,0,62498,0,69,0,3,40,41,0,0,0,0,0,0,793,0,0,23,0,133,0,0,1463,0,10,0,0,0,0,0,245,0,0,0,0,2,0,8,0,0,0,4,328,0,0,0,0,21,31,0,0,4,0,0,3,0,0,0,0,3,0,13,22630,0,0,0,0,0,0,38,0,0,0,0,63,578,0,0,0,0,8,35,0,0,0,0,18,0,0,6067,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,7506,0,0,0,11762,0,0,0,0,4042,0,399,0,0,0,1,0,0,1,135,0,61492,0,0,1,45,0,0,0,1305,0,0,0,0,5,0,0,0,6,0,0,0,0,4431,0,0,0,0,0,0,0,0,379,2558,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,1048,44519,1,0,0,4,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,54,0,0,36920,873,0,0,0,20109,0,0,1462,0,0,4,0,0,0,0,33,0,19,0,0,0,0,5,27618,0,0,0,0,5,464,8,0,0,0,10,0,0,2,0,0,46,238,0,0,163,29,7,0,0,0,5,0,0,0,280,64306,0,0,0,0,2703,0,21,0,0,0,0,8,0,0,0,0,0,59,1,0,0,0,0,42,0,0,1324,0,3518,0,0,25,0,0,14550,0,0,0,3568,0,0,0,0,0,0,0,1,0,0,0,0,17226,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,755,774,7007,0,0,0,0,426,0,0,0,1,0,0,1,40,28,2,0,0,4,114,0,0,0,0,0,0,0,0,0,0,0,11,6,69,0,0,0,95,0,2,0,0,0,0,0,0,611,2451,0,0,0,750109,0,0,0,0,0,11,0,0,0,0,30,0,1069,152415,0,0,0,0,2485,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,53,0,0,470,734,0,0,0,0,0,0,17383,0,0,7,0,12,0,0,170,0,22,0,0,0,0,0,9422,0,11463,34988,0,8,592,10,0,0,11469,28,0,0,3,0,67,176,755,0,0,23,67,119,0,877,0,23,0,8,0,853,82513,0,48255,0,0,19963,133,453,0,0,0,0,190,0,0,0,0,0,281,7,0,0,0,0,937,0,0,12096,0,0,0,0,5307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,4629,4,0,847,0,43,0,0,1,0,0,0,0,0,108,0,1865,0,0,2,487,48162,0,717,0,0,0,7,0,0,12,0,40,76,0,0,47,334,0,0,0,281,0,987,0,0,0,0,0,13,23,0,0,4078,0,6034,0,0,0,0,0,0,0,0,1360,7421,0,0,0,359,0,714,0,0,730,24,0,0,0,0,61,0,11000,49430,9,0,0,4,0,0,0,0,254,0
Canada,0,913,634,0,0,0,442,2062,0,62,51330,2461,0,1633,0,0,898,154,5014,897,0,2281,41,1436,18,432,1944,0,713,0,0,0,44,916,0,1863,202,0,0,2293,19990,1051,0,0,0,2843,0,977,63,91,1771,1809,2202,0,185,4925,3410,1173,246,0,0,62,0,26,0,1567,26128,154,278,0,0,13000,320,12382,18,341,0,413,189,59,406,1335,352,14889,2543,285,1625,2193,0,0,5724,208,9630,24818,1979,13902,328,0,870,0,334,18648,0,0,0,0,133,0,0,48,2913,0,69,251,0,0,108,0,257,98,0,2203,0,114,99,9816,0,0,200,137,59,0,0,0,173,0,10004,0,10214,260,0,0,0,3093,0,0,0,1866,275,2340,1424,5740,3163,7516,156,0,572,558,130,13,0,0,0,0,607,17,34,4847,39,499,2621,0,0,9401,0,6671,252,85,258,0,436,0,0,19,3596,11771,0,50,3752,5851,0,49,0,1788,0,2114,0,498,0,388,208,0,95000,783206,363,0,44,1153,1520,0,0,0,209,0
Cayman Islands,0,0,0,0,0,0,0,0,0,1,140,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,278,0,0,0,0,2,0,17,0,0,0,8,0,0,13,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,748,3833,3,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,4,30,25,0,0,0,0,0,0,439,0,0,1,0,67,0,0,13,0,0,0,0,0,0,285641,272,0,0,89598,0,5,0,7,0,275050,33186,5,0,0,3,0,17,6,22,0,0,138,3,68,0,0,0,1,0,0,0,4,16972,0,0,0,0,0,0,385,0,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,11,0,0,271,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,18,0,0,0,9,0,0,0,0,9,2,0,0,2,91,0,0,0,303,0,0,0,0,0,0,0,2,3,0,0,195,4580,163,0,0,0,0,0,15909,0,0,108,211,0,0,0,0,0,384,0,0,0,10,0,0,0,0,0,0,139,688,0,0,0,0,0,0,0,0,0,0
Chad,0,0,191,0,0,216,0,0,0,0,60,25,0,0,445,0,0,0,533,0,721,0,0,0,0,0,0,0,6,0,0,0,0,158431,1059,0,66690,0,0,22,123,6,0,0,10723,2,0,0,0,0,0,17,14,0,0,4,0,354,0,0,0,0,0,0,0,8,7530,0,4311,0,0,317,17,18,0,0,0,0,377,0,0,0,0,0,2,0,0,0,0,0,25,0,0,509,0,0,25,0,1654,0,0,0,0,1422,0,0,0,0,0,0,879,0,0,4,0,0,0,0,0,0,0,4,0,116,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,883,52251,0,33,0,0,0,1,0,0,2,0,0,5,0,973,1,152,0,0,0,463,0,0,0,0,0,0,0,138,1,0,0,0,5190,123,0,0,0,0,0,87884,0,0,71,300,0,0,0,0,0,731,0,0,0,8,0,0,0,0,15,5103,303,381,0,0,0,0,0,0,0,0,0,0
Channel Islands,0,0,0,0,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24022,0,1,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,199,0,0,221109,0,28,30550,1260,0,36,0,0,0,0,4234,0,0,16,0,4923,7,0,18910,0,35,0,0,0,0,0,31097,0,0,0,0,0,411,2162,0,0,0,1749,0,195,183,0,56,202,1373,0,0,2615,16518,35,230,0,0,14,0,3,0,449,14620,0,0,0,0,15994,0,360,0,0,0,313,10,0,0,707,312,0,149,73,0,0,0,0,301,0,3380,12192,0,0,8,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62,0,0,0,0,0,0,0,12,0,60,0,5160,0,0,14,0,0,0,0,0,28,0,3365,0,2569,130,0,0,0,6656,0,0,0,1872,0,2551,8350,95,64,202,769,0,32,107,0,0,5,0,0,0,0,0,0,0,0,28,133,0,0,1102,0,55604,0,0,0,0,0,0,0,0,28072,7312,0,0,0,0,0,0,0,0,0,66,0,0,0,0,6,0,6290,93647,1682,0,1,15500,0,0,0,0,0,0
China,0,0,683,849,0,0,137,15924,0,1134,526040,15986,427,179,0,174487,43,0,19813,2117,0,346,973,1173,18,4382,23769,2172,1471,0,0,23,1566,0,711555,0,127,0,0,9823,0,2176,0,0,937,9422,0,434,307,499,1884,5219,10611,0,38,4995,4265,1266,260,0,135,312,0,33,935,9956,111717,732,331,0,256,129150,264,4414,11,0,2942,683,164,0,1166,739,601,2343868,18193,609,7035,73971,0,0,13640,0,1130,212173,0,741022,20936,5142,1487,0,28877,656846,0,0,303,13951,237,2987,124,0,3142,79,280,1117,290609,0,2813,0,54980,0,613,447,318,346,23210,8860,344,361,10,9683,0,0,0,47742,2881,24394,54413,122,98109,144,0,0,2892,11520,0,312,519,19273,92,800,4751,37083,1262,10806,1116,0,4909,56210,105,68,11,0,0,0,1750,515,268,462632,180,1135,1038,192,0,38684,0,183583,2482,10,49,0,0,1310,5436,0,28410,22286,0,48,22542,149352,1249,530,168,871,0,2190,298,0,0,597,6625,0,226000,2130352,165,1933,107,14081,8639,0,0,0,1055,0
Colombia,0,0,0,0,0,0,0,50793,0,9827,18770,1765,0,201,0,0,0,0,6351,0,0,24,0,3085,0,0,8395,0,49,0,0,0,0,0,70405,539,0,0,0,24427,823,0,0,0,0,24573,0,43,165,4897,148,372,1198,0,0,6494,200539,54,580,0,0,36,0,30,0,1060,27644,0,0,0,0,22190,0,393,0,0,0,1202,2548,0,0,1758,876,0,238,189,0,0,0,0,0,0,3090,38919,0,0,24,0,45,0,0,0,0,0,0,0,7,0,0,0,0,37,0,28,0,0,0,0,0,0,0,11,0,0,0,18735,0,0,0,0,0,0,0,0,0,0,14447,0,1228,460,0,0,0,5778,0,0,0,57051,0,329,6902,128,133,667,4002,0,8,206,0,0,4,0,0,0,0,0,0,0,215,56,73,0,0,979,0,354108,0,0,0,0,0,0,0,0,11914,12827,0,0,0,0,0,0,0,0,0,72,0,0,0,0,14,0,26623,704587,749,0,0,988483,0,0,0,0,0,0
