Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CABANA,201 Sunrise Terrace,1,271,Strata,1830000,-,6753,627,7-May-18,Terrace House,103 Yrs From 23/04/2009,2013,Resale,HDB,28,80,805353,North East Region,Ang Mo Kio
CABANA,109 Sunrise Terrace,1,271,Strata,1900000,-,7011,651,7-Aug-18,Terrace House,103 Yrs From 23/04/2009,2013,Resale,HDB,28,80,805399,North East Region,Ang Mo Kio
CABANA,137 Sunrise Terrace,1,271,Strata,1833888,-,6767,629,14-Dec-18,Terrace House,103 Yrs From 23/04/2009,2013,Resale,HDB,28,80,805385,North East Region,Ang Mo Kio
CABANA,203 Sunrise Terrace,1,271,Strata,1850000,-,6827,634,22-Nov-18,Terrace House,103 Yrs From 23/04/2009,2013,Resale,HDB,28,80,805352,North East Region,Ang Mo Kio
CABANA,143 Sunrise Terrace,1,271,Strata,1880880,-,6941,645,19-Jun-18,Terrace House,103 Yrs From 23/04/2009,2013,Resale,Private,28,80,805382,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #13-08,1,109,Strata,1061000,-,9734,904,3-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #01-07,1,148,Strata,1241000,-,8385,779,3-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #03-03,1,107,Strata,925000,-,8645,803,3-Apr-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #08-01,1,88,Strata,820000,-,9318,866,2-Apr-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #06-15,1,113,Strata,990000,-,8761,814,29-Mar-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #13-13,1,109,Strata,1022000,-,9376,871,28-Mar-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #05-02,1,107,Strata,965000,-,9019,838,7-Feb-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #05-09,1,88,Strata,820000,-,9318,866,6-Feb-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #10-13,1,109,Strata,1000000,-,9174,852,5-Feb-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #03-15,1,113,Strata,990000,-,8761,814,22-Jan-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #08-14,1,131,Strata,1269000,-,9687,900,19-Jan-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #11-08,1,109,Strata,995000,-,9128,848,19-Jan-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #12-06,1,131,Strata,1200000,-,9160,851,10-Jan-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #10-06,1,131,Strata,1308000,-,9985,928,19-Sep-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #12-06,1,131,Strata,1300000,-,9924,922,10-Aug-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #04-16,1,88,Strata,810000,-,9205,855,1-Aug-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #08-03,1,107,Strata,948000,-,8860,823,31-Jul-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #11-07,1,131,Strata,1269000,-,9687,900,31-Jul-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #02-07,1,113,Strata,970000,-,8584,797,27-Jul-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #01-09,1,105,Strata,840000,-,8000,743,10-Jul-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #04-08,1,88,Strata,825000,-,9375,871,14-Dec-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #06-16,1,88,Strata,837000,-,9511,884,30-Nov-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #03-10,1,107,Strata,950000,-,8879,825,30-Oct-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #13-14,1,131,Strata,1320000,-,10076,936,9-Oct-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #13-14,1,131,Strata,1300000,-,9924,922,4-Oct-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #04-13,1,88,Strata,800000,-,9091,845,15-Jun-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,481 Yio Chu Kang Road  #10-08,1,109,Strata,1040000,-,9541,886,8-Jun-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787056,North East Region,Ang Mo Kio
CASTLE GREEN,485 Yio Chu Kang Road  #01-05,1,121,Strata,1042000,-,8612,800,8-Jun-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #04-01,1,88,Strata,800000,-,9091,845,28-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #02-09,1,88,Strata,820000,-,9318,866,23-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,487 Yio Chu Kang Road  #02-15,1,113,Strata,950000,-,8407,781,17-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #03-15,1,113,Strata,948000,-,8389,779,16-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #02-14,1,113,Strata,975000,-,8628,802,11-May-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787057,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #21-06,1,86,Strata,1275000,-,14826,1377,9-Apr-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #25-06,1,86,Strata,1400000,-,16279,1512,29-Mar-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #15-04,1,69,Strata,1050000,-,15217,1414,8-Feb-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #18-05,1,84,Strata,1340000,-,15952,1482,30-Jul-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #10-03,1,71,Strata,1130000,-,15915,1479,23-Jul-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #11-08,1,84,Strata,1280000,-,15238,1416,17-Jul-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #17-11,1,112,Strata,1800000,-,16071,1493,4-Jul-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #31-08,1,112,Strata,1740000,-,15536,1443,5-Dec-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #20-05,1,84,Strata,1310000,-,15595,1449,8-Oct-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #22-03,1,86,Strata,1305000,-,15174,1410,25-Jun-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #24-03,1,86,Strata,1338000,-,15558,1445,4-Jun-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #13-06,1,71,Strata,1150000,-,16197,1505,22-May-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,HDB,20,56,567752,North East Region,Ang Mo Kio
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #08-10,1,81,Strata,1230000,-,15185,1411,21-May-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,Private,20,56,567752,North East Region,Ang Mo Kio
FAR HORIZON GARDENS,7 Ang Mo Kio Avenue 9  #02-03,1,111,Strata,990000,-,8919,829,5-Mar-18,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,20,56,569761,North East Region,Ang Mo Kio
FAR HORIZON GARDENS,13 Ang Mo Kio Avenue 9  #04-03,1,107,Strata,840000,-,7850,729,12-Feb-18,Condominium,99 Yrs From 08/03/1982,1986,Resale,HDB,20,56,569764,North East Region,Ang Mo Kio
FLORAVIEW,5 Ang Mo Kio Street 66  #03-27,1,62,Strata,816000,-,13161,1223,13-Apr-18,Apartment,Freehold,2017,Sub Sale,Private,20,56,567707,North East Region,Ang Mo Kio
FLORIDA PARK,2 Sunrise Avenue,1,366,Land,3500000,-,9563,888,26-Feb-18,Semi-Detached House,Freehold,1989,Resale,Private,28,80,806664,North East Region,Ang Mo Kio
FLORIDA PARK,121 Sunrise Way,1,240,Land,2300000,-,9575,890,23-Feb-18,Terrace House,Freehold,1991,Resale,Private,28,80,806231,North East Region,Ang Mo Kio
FLORIDA PARK,161 Sunrise Way,1,262,Land,2560000,-,9786,909,19-Dec-18,Terrace House,Freehold,1989,Resale,Private,28,80,806255,North East Region,Ang Mo Kio
FLORIDA PARK,40 Sunrise Drive,1,331,Land,3380000,-,10205,948,9-May-18,Semi-Detached House,Freehold,1989,Resale,Private,28,80,806543,North East Region,Ang Mo Kio
FLORISSA PARK,15 Florissa Park,1,372,Land,3700000,-,9946,924,17-Jan-18,Terrace House,Freehold,1988,Resale,HDB,26,78,789598,North East Region,Ang Mo Kio
FLORISSA PARK,60 Florissa Park,1,210,Land,2760000,-,13137,1220,16-Jul-18,Terrace House,Freehold,1988,Resale,Private,26,78,789643,North East Region,Ang Mo Kio
FUDU PARK,23 Lentor Terrace,1,350,Land,3500000,-,9994,928,29-Mar-18,Semi-Detached House,Freehold,1988,Resale,HDB,26,78,788918,North East Region,Ang Mo Kio
FUDU PARK,61 Lentor Terrace,1,214,Land,2320000,-,10867,1010,23-Mar-18,Terrace House,Freehold,1988,Resale,Private,26,78,788956,North East Region,Ang Mo Kio
FUDU PARK,3 Fudu Park,1,174,Land,2470000,-,14204,1320,12-Feb-18,Terrace House,Freehold,1990,Resale,Private,26,78,789537,North East Region,Ang Mo Kio
FUDU PARK,24 Fudu Park,1,320,Land,3550000,-,11094,1031,30-Jan-18,Semi-Detached House,Freehold,1990,Resale,Private,26,78,789558,North East Region,Ang Mo Kio
FUDU PARK,27 Lentor Terrace,1,350,Land,4800000,-,13714,1274,23-Aug-18,Semi-Detached House,Freehold,1988,Resale,Private,26,78,788922,North East Region,Ang Mo Kio
GRANDE VISTA,12 Cactus Drive  #08-03,1,127,Strata,1180000,-,9291,863,11-Jan-18,Condominium,999 Yrs From 05/05/1886,1992,Resale,Private,28,80,809688,North East Region,Ang Mo Kio
GRANDE VISTA,24 Cactus Drive  #03-05,1,152,Strata,1750000,-,11513,1070,18-Jun-18,Condominium,999 Yrs From 05/05/1886,1993,Resale,HDB,28,80,809694,North East Region,Ang Mo Kio
GRANDE VISTA,20 Cactus Drive  #03-05,1,188,Strata,1790000,-,9521,885,24-May-18,Condominium,999 Yrs From 05/05/1886,1992,Resale,Private,28,80,809692,North East Region,Ang Mo Kio
GRANDE VISTA,24 Cactus Drive  #09-12,1,323,Strata,3030000,-,9381,871,18-May-18,Condominium,999 Yrs From 05/05/1886,1993,Resale,Private,28,80,809694,North East Region,Ang Mo Kio
GRANDEUR 8,2 Ang Mo Kio Central 3  #03-03,1,114,Strata,1210000,-,10614,986,3-May-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567741,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #15-08,1,113,Strata,1220000,-,10796,1003,30-Apr-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567743,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #05-05,1,122,Strata,1418040,-,11623,1080,25-Apr-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567743,North East Region,Ang Mo Kio
GRANDEUR 8,10 Ang Mo Kio Central 3  #10-15,1,111,Strata,1300000,-,11712,1088,9-Apr-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567745,North East Region,Ang Mo Kio
GRANDEUR 8,18 Ang Mo Kio Central 3  #15-29,1,117,Strata,1350000,-,11538,1072,29-Mar-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567749,North East Region,Ang Mo Kio
GRANDEUR 8,16 Ang Mo Kio Central 3  #11-25,1,135,Strata,1550000,-,11481,1067,12-Mar-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567748,North East Region,Ang Mo Kio
GRANDEUR 8,16 Ang Mo Kio Central 3  #01-28,1,132,Strata,1350000,-,10227,950,27-Feb-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567748,North East Region,Ang Mo Kio
GRANDEUR 8,2 Ang Mo Kio Central 3  #17-02,1,105,Strata,1150000,-,10952,1018,7-Feb-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567741,North East Region,Ang Mo Kio
GRANDEUR 8,12 Ang Mo Kio Central 3  #04-18,1,135,Strata,1460000,-,10815,1005,6-Feb-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567746,North East Region,Ang Mo Kio
GRANDEUR 8,10 Ang Mo Kio Central 3  #04-13,1,114,Strata,1200000,-,10526,978,24-Jan-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567745,North East Region,Ang Mo Kio
GRANDEUR 8,16 Ang Mo Kio Central 3  #13-28,1,111,Strata,1300000,-,11712,1088,5-Jan-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567748,North East Region,Ang Mo Kio
GRANDEUR 8,2 Ang Mo Kio Central 3  #11-01,1,114,Strata,1270000,-,11140,1035,24-Sep-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567741,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #05-07,1,104,Strata,1050000,-,10096,938,18-Sep-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567743,North East Region,Ang Mo Kio
GRANDEUR 8,8 Ang Mo Kio Central 3  #18-12,1,215,Strata,1970000,-,9163,851,7-Sep-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567744,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #17-07,1,114,Strata,1320000,-,11579,1076,30-Aug-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567743,North East Region,Ang Mo Kio
GRANDEUR 8,8 Ang Mo Kio Central 3  #04-10,1,113,Strata,1060000,-,9381,871,26-Jul-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567744,North East Region,Ang Mo Kio
GRANDEUR 8,18 Ang Mo Kio Central 3  #06-31,1,104,Strata,1165000,-,11202,1041,23-Jul-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567749,North East Region,Ang Mo Kio
GRANDEUR 8,12 Ang Mo Kio Central 3  #10-20,1,113,Strata,1230000,-,10885,1011,8-Jun-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567746,North East Region,Ang Mo Kio
GRANDEUR 8,6 Ang Mo Kio Central 3  #18-08,1,153,Strata,1350000,-,8824,820,6-Jun-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567743,North East Region,Ang Mo Kio
GRANDEUR 8,14 Ang Mo Kio Central 3  #02-22,1,111,Strata,1170000,-,10541,979,21-May-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,Private,20,56,567747,North East Region,Ang Mo Kio
GRANDEUR 8,10 Ang Mo Kio Central 3  #07-14,1,104,Strata,1080000,-,10385,965,21-May-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567745,North East Region,Ang Mo Kio
HAPPY ESTATE,30 Thomson Heights,1,321,Land,3800000,-,11838,1100,3-Jul-18,Semi-Detached House,Freehold,1984,Resale,Private,20,57,574858,North East Region,Ang Mo Kio
HORIZON GARDENS,479 Ang Mo Kio Avenue 2,1,280,Strata,1865000,-,6661,619,26-Apr-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,HDB,20,56,567895,North East Region,Ang Mo Kio
HORIZON GARDENS,531 Ang Mo Kio Avenue 2,1,270,Strata,1860000,-,6889,640,13-Apr-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,567921,North East Region,Ang Mo Kio
HORIZON GARDENS,511 Ang Mo Kio Avenue 2,1,270,Strata,1836000,-,6800,632,12-Apr-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,567911,North East Region,Ang Mo Kio
HORIZON GARDENS,425 Ang Mo Kio Avenue 2,1,284,Strata,1840000,-,6479,602,8-Mar-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,567868,North East Region,Ang Mo Kio
HORIZON GARDENS,373 Ang Mo Kio Avenue 2,1,267,Strata,1670000,-,6255,581,2-Mar-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,HDB,20,56,567842,North East Region,Ang Mo Kio
HORIZON GARDENS,475 Ang Mo Kio Avenue 2,1,292,Strata,1788888,-,6126,569,15-Feb-18,Semi-Detached House,99 Yrs From 23/06/1995,2002,Resale,HDB,20,56,567893,North East Region,Ang Mo Kio
HORIZON GARDENS,569 Ang Mo Kio Avenue 2,1,266,Strata,1850000,-,6955,646,14-Feb-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,567940,North East Region,Ang Mo Kio
HORIZON GARDENS,317 Ang Mo Kio Avenue 2,1,278,Strata,1780000,-,6403,595,29-Jan-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,569957,North East Region,Ang Mo Kio
HORIZON GARDENS,309 Ang Mo Kio Avenue 2,1,278,Strata,1670000,-,6007,558,22-Jan-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,569953,North East Region,Ang Mo Kio
HORIZON GARDENS,311 Ang Mo Kio Avenue 2,1,278,Strata,1830000,-,6583,612,17-Jul-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,569954,North East Region,Ang Mo Kio
HORIZON GARDENS,467 Ang Mo Kio Avenue 2,1,277,Strata,2048000,-,7394,687,1-Nov-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,Private,20,56,567889,North East Region,Ang Mo Kio
HORIZON GARDENS,367 Ang Mo Kio Avenue 2,1,267,Strata,1780000,-,6667,619,5-Jun-18,Terrace House,99 Yrs From 23/06/1995,2002,Resale,HDB,20,56,567839,North East Region,Ang Mo Kio
HORIZON GREEN,723 Ang Mo Kio Avenue 2,1,314,Strata,1820000,-,5796,538,12-Mar-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567773,North East Region,Ang Mo Kio
HORIZON GREEN,719 Ang Mo Kio Avenue 2,1,304,Strata,1787719,-,5881,546,30-Jan-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567771,North East Region,Ang Mo Kio
HORIZON GREEN,799 Ang Mo Kio Avenue 2,1,350,Strata,2050000,-,5857,544,19-Jan-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567811,North East Region,Ang Mo Kio
HORIZON GREEN,713 Ang Mo Kio Avenue 2,1,316,Strata,1868888,-,5914,549,3-Aug-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567768,North East Region,Ang Mo Kio
HORIZON GREEN,731 Ang Mo Kio Avenue 2,1,320,Strata,1738000,-,5431,505,13-Jul-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,Private,20,56,567777,North East Region,Ang Mo Kio
HORIZON GREEN,721 Ang Mo Kio Avenue 2,1,314,Strata,1848888,-,5888,547,8-Nov-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,HDB,20,56,567772,North East Region,Ang Mo Kio
HORIZON GREEN,60 Thomson Walk,1,389,Strata,2250000,-,5784,537,19-Jun-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,HDB,20,57,574493,North East Region,Ang Mo Kio
HORIZON GREEN,779 Ang Mo Kio Avenue 2,1,310,Strata,2100000,-,6774,629,13-Jun-18,Terrace House,99 Yrs From 23/06/1995,2003,Resale,HDB,20,56,567801,North East Region,Ang Mo Kio
